reconstructionData	SOURCE	CATEGORY	TOOL
RXN-12127_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.3.1.91-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN3O-4157_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17919_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9523_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14177_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
3.4.14.9-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14796_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN4FS-13_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9531_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-15427_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17782_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10954_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
URPHOS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DISULISOM-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11346_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
URA-PHOSPH-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17875_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.8.23-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11326_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10768_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16626_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12440_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14223_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-18260_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ISPH2-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-17015_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
UDPKIN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN0-947_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7677_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ENOYL-ACP-REDUCT-NADPH-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.8.11-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14286_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14996_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13471_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
MANNKIN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11502_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13279_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-323_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.3.1.78-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
OHACYL-COA-DEHYDROG-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.7.8-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10939_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
R322-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ACYLACPSYNTH-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HISTOLDEHYD-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-13673_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9540_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
FUCPALDOL-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-5189_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12561_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PYRUVDEH-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-8898_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-3741_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
7KAPSYN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN3DJ-25_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
SINAPINE-ESTERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN3O-328_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
THYM-PHOSPH-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.7.33-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PEPTIDYLPROLYL-ISOMERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10939_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
SULFATE-ADENYLYLTRANS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-709_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.14.13.93-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXNQT-4325_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16113_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13296_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLUC1PADENYLTRANS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-11332_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
325-BISPHOSPHATE-NUCLEOTIDASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-747_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-16_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17009_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10664_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
4.3.1.17-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.4.10-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8452_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16628_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8357_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXNQT-4165_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
IMP-DEHYDROG-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
FATTY-ACYL-COA-SYNTHASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
4.2.2.2-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
MALONYL-COA-DECARBOXYLASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17738_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DIAMINOPIMDECARB-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
SPHINGOMYELIN-PHOSPHODIESTERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14574_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9518_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.8.15-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
QUINOPRIBOTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8773_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16380_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14284_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RETINOL-DEHYDROGENASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
PHENYLALANINE-AMMONIA-LYASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8748_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.3.1.103-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-961_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-11519_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-11634_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
UDPGLUCEPIM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
2.3.1.23-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9527_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
ALANINE-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PYRIMSYN3-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.14.13.72-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLUTDECARBOX-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
GLYOXII-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10086_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
METHYLENETHFDEHYDROG-NADP-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GALACTONOLACTONE-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16425_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.1.2.22-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12642_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-6384_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
CHOLINE-SULFATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16654_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-15733_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9951_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PHOSCHOL-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN1F-168_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-6902_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7607_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN3O-458_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-315_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
SUCCSEMIALDDEHYDROG-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16403_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17607_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3-CYANOALANINE-HYDRATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14569_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14196_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.5.1.45-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GPPSYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-8683_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HEME-OXYGENASE-DECYCLIZING-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
MALSYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-15295_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17830_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLUTAMATE-DEHYDROGENASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-12969_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLUTAMIDOTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7798_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11591_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14918_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14161_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.7.39-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-306_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.14.13.78-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17116_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-113_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
SPHINGANINE-KINASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10660_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.1.1.57-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9599_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.4.11.22-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
4.3.1.15-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
UDP-GLUCOSE-46-DEHYDRATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9025_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
