reaction	has_metadata@reconstructionData
TEICHOICSYN5-RXN	TEICHOICSYN5-RXN_reconstructionData_B_NAPUS_V5
4.99.1.3-RXN	4.99.1.3-RXN_reconstructionData_B_NAPUS_V5
RXN-13685	RXN-13685_reconstructionData_B_NAPUS_V5
RXN-13961	RXN-13961_reconstructionData_B_NAPUS_V5
RXN0-6479	RXN0-6479_reconstructionData_B_NAPUS_V5
RXN-7644	RXN-7644_reconstructionData_B_NAPUS_V5
2.7.11.20-RXN	2.7.11.20-RXN_reconstructionData_B_NAPUS_V5
NICONUCADENYLYLTRAN-RXN	NICONUCADENYLYLTRAN-RXN_reconstructionData_B_NAPUS_V5
RXN-11625	RXN-11625_reconstructionData_B_NAPUS_V5
RXN-16219	RXN-16219_reconstructionData_B_NAPUS_V5
RXN-6222	RXN-6222_reconstructionData_B_NAPUS_V5
5.5.1.2-RXN	5.5.1.2-RXN_reconstructionData_B_NAPUS_V5
RXN-17679	RXN-17679_reconstructionData_B_NAPUS_V5
RXN-10827	RXN-10827_reconstructionData_B_NAPUS_V5
NITRIC-OXIDE-SYNTHASE-RXN	NITRIC-OXIDE-SYNTHASE-RXN_reconstructionData_B_NAPUS_V5
RXN-16153	RXN-16153_reconstructionData_B_NAPUS_V5
MRNA-GUANYLYLTRANSFERASE-RXN	MRNA-GUANYLYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-11474	RXN-11474_reconstructionData_B_NAPUS_V5
RXN0-7248	RXN0-7248_reconstructionData_B_NAPUS_V5
1.5.1.15-RXN	1.5.1.15-RXN_reconstructionData_B_NAPUS_V5
RXN-13417	RXN-13417_reconstructionData_B_NAPUS_V5
RXN66-11	RXN66-11_reconstructionData_B_NAPUS_V5
3.4.24.19-RXN	3.4.24.19-RXN_reconstructionData_B_NAPUS_V5
ARG-OXIDATION-RXN	ARG-OXIDATION-RXN_reconstructionData_B_NAPUS_V5
RXN-10062	RXN-10062_reconstructionData_B_NAPUS_V5
RXN-12415	RXN-12415_reconstructionData_B_NAPUS_V5
RXN-16954	RXN-16954_reconstructionData_B_NAPUS_V5
RXN-11819	RXN-11819_reconstructionData_B_NAPUS_V5
3.6.4.4-RXN	3.6.4.4-RXN_reconstructionData_B_NAPUS_V5
RXN-1381	RXN-1381_reconstructionData_B_NAPUS_V5
RXN0-3942	RXN0-3942_reconstructionData_B_NAPUS_V5
RXN66-546	RXN66-546_reconstructionData_B_NAPUS_V5
RXN1F-162	RXN1F-162_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-15137	RXN-15137_reconstructionData_B_NAPUS_V5
ACETYL-COA-CARBOXYLTRANSFER-RXN	ACETYL-COA-CARBOXYLTRANSFER-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ACETYL-COA-CARBOXYLTRANSFER-RXN	ACETYL-COA-CARBOXYLTRANSFER-RXN_reconstructionData_B_NAPUS_V5
6PGLUCONOLACT-RXN	6PGLUCONOLACT-RXN_reconstructionData_B_NAPUS_V5
6PGLUCONOLACT-RXN	6PGLUCONOLACT-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN0-6523	RXN0-6523_reconstructionData_B_NAPUS_V5
1.8.1.4-RXN	1.8.1.4-RXN_reconstructionData_B_NAPUS_V5
RXN-14261	RXN-14261_reconstructionData_B_NAPUS_V5
RXN0-949	RXN0-949_reconstructionData_B_NAPUS_V5
RXN3O-4113	RXN3O-4113_reconstructionData_B_NAPUS_V5
RXN-17878	RXN-17878_reconstructionData_B_NAPUS_V5
RXNQT-4328	RXNQT-4328_reconstructionData_B_NAPUS_V5
RXN-10699	RXN-10699_reconstructionData_B_NAPUS_V5
3.4.22.47-RXN	3.4.22.47-RXN_reconstructionData_B_NAPUS_V5
2.4.1.143-RXN	2.4.1.143-RXN_reconstructionData_B_NAPUS_V5
RXN-14492	RXN-14492_reconstructionData_B_NAPUS_V5
ACYLACPSYNTH-RXN	ACYLACPSYNTH-RXN_reconstructionData_B_NAPUS_V5
RXN-16113	RXN-16113_reconstructionData_B_NAPUS_V5
RXN-13142	RXN-13142_reconstructionData_B_NAPUS_V5
R310-RXN	R310-RXN_reconstructionData_B_NAPUS_V5
RXN-9523	RXN-9523_reconstructionData_B_NAPUS_V5
RXN-9523	RXN-9523_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
PROGESTERONE-5-ALPHA-REDUCTASE-RXN	PROGESTERONE-5-ALPHA-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
RXN-5962	RXN-5962_reconstructionData_B_NAPUS_V5
RXN-16559	RXN-16559_reconstructionData_B_NAPUS_V5
1.6.4.4-RXN	1.6.4.4-RXN_reconstructionData_B_NAPUS_V5
RXN-7682	RXN-7682_reconstructionData_B_NAPUS_V5
RXN-7682	RXN-7682_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
HEME-OXYGENASE-DECYCLIZING-RXN	HEME-OXYGENASE-DECYCLIZING-RXN_reconstructionData_B_NAPUS_V5
RXN-9025	RXN-9025_reconstructionData_B_NAPUS_V5
RXN-12173	RXN-12173_reconstructionData_B_NAPUS_V5
DIAMINOPIMDECARB-RXN	DIAMINOPIMDECARB-RXN_reconstructionData_B_NAPUS_V5
DIAMINOPIMDECARB-RXN	DIAMINOPIMDECARB-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-14981	RXN-14981_reconstructionData_B_NAPUS_V5
RXN-12820	RXN-12820_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
SAICARSYN-RXN	SAICARSYN-RXN_reconstructionData_B_NAPUS_V5
RXN-11573	RXN-11573_reconstructionData_B_NAPUS_V5
RXN66-472	RXN66-472_reconstructionData_B_NAPUS_V5
RXN-6002	RXN-6002_reconstructionData_B_NAPUS_V5
HALOALKANE-DEHALOGENASE-RXN	HALOALKANE-DEHALOGENASE-RXN_reconstructionData_B_NAPUS_V5
PNPOXI-RXN	PNPOXI-RXN_reconstructionData_B_NAPUS_V5
RXN-9246	RXN-9246_reconstructionData_B_NAPUS_V5
RXN-16155	RXN-16155_reconstructionData_B_NAPUS_V5
4.2.1.93-RXN	4.2.1.93-RXN_reconstructionData_B_NAPUS_V5
RXN-15838	RXN-15838_reconstructionData_B_NAPUS_V5
3.3.2.10-RXN	3.3.2.10-RXN_reconstructionData_B_NAPUS_V5
RXN-9847	RXN-9847_reconstructionData_B_NAPUS_V5
RXN-16630	RXN-16630_reconstructionData_B_NAPUS_V5
RXN-8092	RXN-8092_reconstructionData_B_NAPUS_V5
OROPRIBTRANS-RXN	OROPRIBTRANS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
OROPRIBTRANS-RXN	OROPRIBTRANS-RXN_reconstructionData_B_NAPUS_V5
ASPARAGHYD-RXN	ASPARAGHYD-RXN_reconstructionData_B_NAPUS_V5
R621-RXN	R621-RXN_reconstructionData_B_NAPUS_V5
THIOL-OXIDASE-RXN	THIOL-OXIDASE-RXN_reconstructionData_B_NAPUS_V5
RXN1F-10	RXN1F-10_reconstructionData_B_NAPUS_V5
RXN0-5408	RXN0-5408_reconstructionData_B_NAPUS_V5
RXN0-5408	RXN0-5408_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-12458	RXN-12458_reconstructionData_B_NAPUS_V5
RXN66-306	RXN66-306_reconstructionData_B_NAPUS_V5
RXN-11347	RXN-11347_reconstructionData_B_NAPUS_V5
GLYCOGEN-BRANCH-RXN	GLYCOGEN-BRANCH-RXN_reconstructionData_B_NAPUS_V5
RXN-9658	RXN-9658_reconstructionData_B_NAPUS_V5
RXN-17875	RXN-17875_reconstructionData_B_NAPUS_V5
RXN-709	RXN-709_reconstructionData_B_NAPUS_V5
2.5.1.19-RXN	2.5.1.19-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
2.5.1.19-RXN	2.5.1.19-RXN_reconstructionData_B_NAPUS_V5
2.5.1.43-RXN	2.5.1.43-RXN_reconstructionData_B_NAPUS_V5
RXN-13992	RXN-13992_reconstructionData_B_NAPUS_V5
RXN-9673	RXN-9673_reconstructionData_B_NAPUS_V5
1.14.13.79-RXN	1.14.13.79-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
1.14.13.79-RXN	1.14.13.79-RXN_reconstructionData_B_NAPUS_V5
RXN-12507	RXN-12507_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN0-5224	RXN0-5224_reconstructionData_B_NAPUS_V5
2.1.1.5-RXN	2.1.1.5-RXN_reconstructionData_B_NAPUS_V5
METHENYLTHFCYCLOHYDRO-RXN	METHENYLTHFCYCLOHYDRO-RXN_reconstructionData_B_NAPUS_V5
GMP-REDUCT-RXN	GMP-REDUCT-RXN_reconstructionData_B_NAPUS_V5
RXN-9293	RXN-9293_reconstructionData_B_NAPUS_V5
RXN-18272	RXN-18272_reconstructionData_B_NAPUS_V5
RXN-9597	RXN-9597_reconstructionData_B_NAPUS_V5
RXN-7913	RXN-7913_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-7913	RXN-7913_reconstructionData_B_NAPUS_V5
RXN-14207	RXN-14207_reconstructionData_B_NAPUS_V5
RXN-13711	RXN-13711_reconstructionData_B_NAPUS_V5
RXN-17109	RXN-17109_reconstructionData_B_NAPUS_V5
RXN-14799	RXN-14799_reconstructionData_B_NAPUS_V5
RXN6666-5	RXN6666-5_reconstructionData_B_NAPUS_V5
RXN0-901	RXN0-901_reconstructionData_B_NAPUS_V5
RXN0-901	RXN0-901_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN0-1134	RXN0-1134_reconstructionData_B_NAPUS_V5
RXN-1224	RXN-1224_reconstructionData_B_NAPUS_V5
RXN-7946	RXN-7946_reconstructionData_B_NAPUS_V5
RXN-2961	RXN-2961_reconstructionData_B_NAPUS_V5
HISTIDINE-DECARBOXYLASE-RXN	HISTIDINE-DECARBOXYLASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-14037	RXN-14037_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
NADH-DEHYDROGENASE-QUINONE-RXN	NADH-DEHYDROGENASE-QUINONE-RXN_reconstructionData_B_NAPUS_V5
RXN-17947	RXN-17947_reconstructionData_B_NAPUS_V5
RXN0-5187	RXN0-5187_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-10659	RXN-10659_reconstructionData_B_NAPUS_V5
ACETYLGLUTKIN-RXN	ACETYLGLUTKIN-RXN_reconstructionData_B_NAPUS_V5
ACETYLGLUTKIN-RXN	ACETYLGLUTKIN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-9023	RXN-9023_reconstructionData_B_NAPUS_V5
RXN-15294	RXN-15294_reconstructionData_B_NAPUS_V5
RXN-16044	RXN-16044_reconstructionData_B_NAPUS_V5
RXN1G-3641	RXN1G-3641_reconstructionData_B_NAPUS_V5
RXN-16664	RXN-16664_reconstructionData_B_NAPUS_V5
RXN-14049	RXN-14049_reconstructionData_B_NAPUS_V5
RXN-18245	RXN-18245_reconstructionData_B_NAPUS_V5
RXN1G-349	RXN1G-349_reconstructionData_B_NAPUS_V5
RXN-12019	RXN-12019_reconstructionData_B_NAPUS_V5
RXN-14801	RXN-14801_reconstructionData_B_NAPUS_V5
RXN-16096	RXN-16096_reconstructionData_B_NAPUS_V5
RXN-15292	RXN-15292_reconstructionData_B_NAPUS_V5
3.2.1.17-RXN	3.2.1.17-RXN_reconstructionData_B_NAPUS_V5
3.4.11.22-RXN	3.4.11.22-RXN_reconstructionData_B_NAPUS_V5
PREPHENATE-ASP-TRANSAMINE-RXN	PREPHENATE-ASP-TRANSAMINE-RXN_reconstructionData_B_NAPUS_V5
RXN-9533	RXN-9533_reconstructionData_B_NAPUS_V5
ALLENE-OXIDE-CYCLASE-RXN	ALLENE-OXIDE-CYCLASE-RXN_reconstructionData_B_NAPUS_V5
RXN-15745	RXN-15745_reconstructionData_B_NAPUS_V5
GAMMA-GLUTAMYLTRANSFERASE-RXN	GAMMA-GLUTAMYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
HISTAMINOTRANS-RXN	HISTAMINOTRANS-RXN_reconstructionData_B_NAPUS_V5
HISTAMINOTRANS-RXN	HISTAMINOTRANS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-8001	RXN-8001_reconstructionData_B_NAPUS_V5
RXN-14281	RXN-14281_reconstructionData_B_NAPUS_V5
DEHYDDEOXPHOSGALACT-ALDOL-RXN	DEHYDDEOXPHOSGALACT-ALDOL-RXN_reconstructionData_B_NAPUS_V5
2.3.1.180-RXN	2.3.1.180-RXN_reconstructionData_B_NAPUS_V5
RXN0-5226	RXN0-5226_reconstructionData_B_NAPUS_V5
2.4.1.122-RXN	2.4.1.122-RXN_reconstructionData_B_NAPUS_V5
RXN-14794	RXN-14794_reconstructionData_B_NAPUS_V5
RXN-14062	RXN-14062_reconstructionData_B_NAPUS_V5
CERAMIDE-KINASE-RXN	CERAMIDE-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-17018	RXN-17018_reconstructionData_B_NAPUS_V5
MERCAPYSTRANS-RXN	MERCAPYSTRANS-RXN_reconstructionData_B_NAPUS_V5
CYTOCHROME-B5-REDUCTASE-RXN	CYTOCHROME-B5-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
CYTOCHROME-B5-REDUCTASE-RXN	CYTOCHROME-B5-REDUCTASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ALPHA-L-FUCOSIDASE-RXN	ALPHA-L-FUCOSIDASE-RXN_reconstructionData_B_NAPUS_V5
DHDOGALDOL-RXN	DHDOGALDOL-RXN_reconstructionData_B_NAPUS_V5
FRUCTOKINASE-RXN	FRUCTOKINASE-RXN_reconstructionData_B_NAPUS_V5
FRUCTOKINASE-RXN	FRUCTOKINASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
R83-RXN	R83-RXN_reconstructionData_B_NAPUS_V5
RXN-15893	RXN-15893_reconstructionData_B_NAPUS_V5
RXN0-2101	RXN0-2101_reconstructionData_B_NAPUS_V5
PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN_reconstructionData_B_NAPUS_V5
PPENTOMUT-RXN	PPENTOMUT-RXN_reconstructionData_B_NAPUS_V5
RNA-POLYMERASE-SUBUNIT-KINASE-RXN	RNA-POLYMERASE-SUBUNIT-KINASE-RXN_reconstructionData_B_NAPUS_V5
PANTEPADENYLYLTRAN-RXN	PANTEPADENYLYLTRAN-RXN_reconstructionData_B_NAPUS_V5
RXN-9537	RXN-9537_reconstructionData_B_NAPUS_V5
RXN-5643	RXN-5643_reconstructionData_B_NAPUS_V5
RXN-11244	RXN-11244_reconstructionData_B_NAPUS_V5
RXN-4444	RXN-4444_reconstructionData_B_NAPUS_V5
RXN0-6725	RXN0-6725_reconstructionData_B_NAPUS_V5
3.1.3.56-RXN	3.1.3.56-RXN_reconstructionData_B_NAPUS_V5
RXN-9549	RXN-9549_reconstructionData_B_NAPUS_V5
3.1.3.46-RXN	3.1.3.46-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
3.1.3.46-RXN	3.1.3.46-RXN_reconstructionData_B_NAPUS_V5
RXN-1223	RXN-1223_reconstructionData_B_NAPUS_V5
RXN-1223	RXN-1223_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-12579	RXN-12579_reconstructionData_B_NAPUS_V5
RXN-13161	RXN-13161_reconstructionData_B_NAPUS_V5
RXN-10660	RXN-10660_reconstructionData_B_NAPUS_V5
RXN-5472	RXN-5472_reconstructionData_B_NAPUS_V5
RXN-15890	RXN-15890_reconstructionData_B_NAPUS_V5
RXN-14788	RXN-14788_reconstructionData_B_NAPUS_V5
R311-RXN	R311-RXN_reconstructionData_B_NAPUS_V5
RXN-17708	RXN-17708_reconstructionData_B_NAPUS_V5
RXN-8244	RXN-8244_reconstructionData_B_NAPUS_V5
RXN-9624	RXN-9624_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-1102	RXN-1102_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-1102	RXN-1102_reconstructionData_B_NAPUS_V5
RXN-5341	RXN-5341_reconstructionData_B_NAPUS_V5
RXN3O-130	RXN3O-130_reconstructionData_B_NAPUS_V5
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	ORNITHINE-GLU-AMINOTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
3.2.1.68-RXN	3.2.1.68-RXN_reconstructionData_B_NAPUS_V5
RXN-12280	RXN-12280_reconstructionData_B_NAPUS_V5
3.2.1.55-RXN	3.2.1.55-RXN_reconstructionData_B_NAPUS_V5
GLYOXII-RXN	GLYOXII-RXN_reconstructionData_B_NAPUS_V5
RXN-10464	RXN-10464_reconstructionData_B_NAPUS_V5
TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN_reconstructionData_B_NAPUS_V5
RXN0-6554	RXN0-6554_reconstructionData_B_NAPUS_V5
RXN-11217	RXN-11217_reconstructionData_B_NAPUS_V5
RXN1F-161	RXN1F-161_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN66-281	RXN66-281_reconstructionData_B_NAPUS_V5
KETOLACTOSE-RXN	KETOLACTOSE-RXN_reconstructionData_B_NAPUS_V5
ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN	ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN_reconstructionData_B_NAPUS_V5
RXN-13266	RXN-13266_reconstructionData_B_NAPUS_V5
RXN-10917	RXN-10917_reconstructionData_B_NAPUS_V5
ACETOLACTREDUCTOISOM-RXN	ACETOLACTREDUCTOISOM-RXN_reconstructionData_B_NAPUS_V5
THI-P-KIN-RXN	THI-P-KIN-RXN_reconstructionData_B_NAPUS_V5
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-16154	RXN-16154_reconstructionData_B_NAPUS_V5
2.1.1.71-RXN	2.1.1.71-RXN_reconstructionData_B_NAPUS_V5
RXN-16389	RXN-16389_reconstructionData_B_NAPUS_V5
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5
RXN1F-28	RXN1F-28_reconstructionData_B_NAPUS_V5
RXN-2982	RXN-2982_reconstructionData_B_NAPUS_V5
RXN-14574	RXN-14574_reconstructionData_B_NAPUS_V5
3.4.22.25-RXN	3.4.22.25-RXN_reconstructionData_B_NAPUS_V5
RXN-17688	RXN-17688_reconstructionData_B_NAPUS_V5
RXN-14385	RXN-14385_reconstructionData_B_NAPUS_V5
RXN0-6274	RXN0-6274_reconstructionData_B_NAPUS_V5
TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRYPTOPHAN-AMINOTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN1G-2527	RXN1G-2527_reconstructionData_B_NAPUS_V5
RXN-11581	RXN-11581_reconstructionData_B_NAPUS_V5
1.3.1.9-RXN	1.3.1.9-RXN_reconstructionData_B_NAPUS_V5
ISOCIT-CLEAV-RXN	ISOCIT-CLEAV-RXN_reconstructionData_B_NAPUS_V5
UREASE-RXN	UREASE-RXN_reconstructionData_B_NAPUS_V5
RXN-4209	RXN-4209_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-13139	RXN-13139_reconstructionData_B_NAPUS_V5
RXN490-3641	RXN490-3641_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-13415	RXN-13415_reconstructionData_B_NAPUS_V5
RXN0-1441	RXN0-1441_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN0-1441	RXN0-1441_reconstructionData_B_NAPUS_V5
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN0-986	RXN0-986_reconstructionData_B_NAPUS_V5
XMPXAN-RXN	XMPXAN-RXN_reconstructionData_B_NAPUS_V5
XMPXAN-RXN	XMPXAN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-15047	RXN-15047_reconstructionData_B_NAPUS_V5
METHYLENETHFDEHYDROG-NADP-RXN	METHYLENETHFDEHYDROG-NADP-RXN_reconstructionData_B_NAPUS_V5
RXN-17809	RXN-17809_reconstructionData_B_NAPUS_V5
RXN0-7238	RXN0-7238_reconstructionData_B_NAPUS_V5
DXPREDISOM-RXN	DXPREDISOM-RXN_reconstructionData_B_NAPUS_V5
DXPREDISOM-RXN	DXPREDISOM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ACETOOHBUTREDUCTOISOM-RXN	ACETOOHBUTREDUCTOISOM-RXN_reconstructionData_B_NAPUS_V5
RXN-9543	RXN-9543_reconstructionData_B_NAPUS_V5
TCP26	TCP26_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
3.1.1.72-RXN	3.1.1.72-RXN_reconstructionData_B_NAPUS_V5
RXN-12730	RXN-12730_reconstructionData_B_NAPUS_V5
RXN-8497	RXN-8497_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-17111	RXN-17111_reconstructionData_B_NAPUS_V5
RXN-698	RXN-698_reconstructionData_B_NAPUS_V5
RXN-11519	RXN-11519_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-14023	RXN-14023_reconstructionData_B_NAPUS_V5
RXN-10974	RXN-10974_reconstructionData_B_NAPUS_V5
RXN-14995	RXN-14995_reconstructionData_B_NAPUS_V5
RXN0-6481	RXN0-6481_reconstructionData_B_NAPUS_V5
THREDEHYD-RXN	THREDEHYD-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
THREDEHYD-RXN	THREDEHYD-RXN_reconstructionData_B_NAPUS_V5
RXN-17889	RXN-17889_reconstructionData_B_NAPUS_V5
