reaction	in@metabolic_network	DIRECTION	EC-NUMBER	COMMON-NAME
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	brassica_napus	REVERSIBLE	EC-1.1.1.91	aryl-alcohol dehydrogenase (NADP+)
RXN-12059	brassica_napus	LEFT-TO-RIGHT	EC-3.1.4.37	2',3'-cyclic-nucleotide 3'-phosphodiesterase
RXN-16118	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
RXN-11486	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.85	trans-octaprenyltranstransferase
RXN-11486				all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific)
RXN66-469	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.3	3-methyl-branched fatty acyl-CoA ligase
RXN66-469				decanoate--CoA ligase
RXN66-469				long-chain fatty acid-CoA ligase
RXN-16975	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.173	sterol 3-beta-glucosyltransferase
RXN-7970	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.87	homoisocitrate dehydrogenase
RXN-7970			EC-1.1.1.286	
PYRIMSYN3-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.4.7	phosphomethylpyrimidine kinase
RXN-12565	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.16	acetyl-CoA C-acyltransferase
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.3.1.22	2-acylglycerol O-acyltransferase
RXN66-168	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.17	glucuronosyltransferase
3.1.4.36-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.4.43	D-myo-inositol 1:2-cyclic phosphate 2-phosphohydrolase
3.4.22.33-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.22.33	
RXN0-6998	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.266	23S rRNA m6A2030 methyltransferase
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN	brassica_napus	REVERSIBLE	EC-1.2.1.5	aldehyde dehydrogenase [NAD(P)+]
RXN-4161	brassica_napus	LEFT-TO-RIGHT	EC-5.3.3.5	4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-dien-3&beta;-ol &Delta;8-&Delta;7-sterol isomerase
LEUCPEL-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.19	leucocyanidin oxygenase
RXN66-163	brassica_napus	LEFT-TO-RIGHT	EC-1.14.14.1	aromatase
TEICHOICSYN5-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.52	poly(glycerol-phosphate) &alpha;-glucosyltransferase
4.99.1.3-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.99.1.3	sirohydrochlorin cobaltochelatase
RXN-13685	brassica_napus	REVERSIBLE	EC-1.18.1.6	NADPH-adrenodoxin reductase
RXN-13961	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.70	sterol 14-demethylase
RXN0-6479	brassica_napus	LEFT-TO-RIGHT	EC-3.1.13.1	exoribonuclease II
RXN-7644	brassica_napus	REVERSIBLE	EC-1.1.1.14	D-sorbitol 2-dehydrogenase
RXN-7644				L-iditol 2-dehydrogenase
2.7.11.20-RXN	brassica_napus	REVERSIBLE	EC-2.7.11.20	elongation factor-2 kinase
NICONUCADENYLYLTRAN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.18	nicotinate-nucleotide adenylyltransferase
RXN-11625	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1	CTP:2-trans,-6-trans-farnesol kinase
RXN-16219	brassica_napus	LEFT-TO-RIGHT	EC-1.11.2.3	plant seed peroxidase
RXN-16219				linoleate 12,13-epoxidase
RXN-6222	brassica_napus	REVERSIBLE	EC-2.4.1.13	sucrose synthase
5.5.1.2-RXN	brassica_napus	LEFT-TO-RIGHT	EC-5.5.1.2	3-carboxymuconate cycloisomerase
RXN-17679	brassica_napus	REVERSIBLE	EC-1.14.11.23	flavonol synthase
RXN-10827	brassica_napus	LEFT-TO-RIGHT	EC-2.7.8.23	carboxyvinyl-carboxyphosphonate phosphorylmutase
NITRIC-OXIDE-SYNTHASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.39	nitric oxide synthase
RXN-16153	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.199	3-oxo-arachidoyl-CoA synthase
RXN-16153				3-oxo-cerotoyl-CoA synthase
MRNA-GUANYLYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.50	mRNA guanylyltransferase
RXN-11474	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.41	3-oxo-glutaryl-[acp] methyl ester synthase
RXN-11474				3-oxoacyl-[acyl-carrier-protein] synthase
RXN0-7248	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.3	long-chain fatty acid-CoA ligase
RXN0-7248				decanoate--CoA ligase
1.5.1.15-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.5.1.15	
RXN-13417	brassica_napus	LEFT-TO-RIGHT		deoxyhypusine synthase
RXN66-11	brassica_napus	LEFT-TO-RIGHT		24,25-dihydrolanosterol 14-hydroxylase
RXN66-11				sterol 14-demethylase
3.4.24.19-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.24.19	
ARG-OXIDATION-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.2	L-amino-acid oxidase
RXN-10062	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	trans-hexacos-2-enoyl-[acp] reductase
RXN-10062				enoyl-[acyl-carrier-protein] reductase (NADH)
RXN-12415	brassica_napus	LEFT-TO-RIGHT	EC-2.4.2.39	xyloglucan 6-xylosyltransferase
RXN-16954	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.90	aryl-alcohol dehydrogenase (NAD+)
RXN-11819	brassica_napus	REVERSIBLE	EC-1.11.2.3	plant seed peroxidase
RXN-11819				peroxygenase
3.6.4.4-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.4.4	ATP-dependent microtubule motor activity, plus-end-directed
RXN-1381	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.15	glycerol-3-phosphate O-acyltransferase
RXN-1381				acyl-CoA:sn-glycerol-3-phosphate 1-O-acyltransferase
RXN0-3942	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.94	&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase
RXN66-546	brassica_napus	LEFT-TO-RIGHT	EC-1.5.1.2	pyrroline-5-carboxylate reductase
RXN1F-162	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11	
RXN-15137	brassica_napus	LEFT-TO-RIGHT		cystathionine beta-lyase
ACETYL-COA-CARBOXYLTRANSFER-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.4.1.2	acetyl-CoA carboxylase
6PGLUCONOLACT-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.31	6-phosphogluconolactonase
RXN0-6523	brassica_napus	LEFT-TO-RIGHT	EC-3.1.26.12	ribonuclease
1.8.1.4-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.8.1.4	dihydrolipoamide dehydrogenase
1.8.1.4-RXN				dihydrolipoyl dehydrogenase
1.8.1.4-RXN				E3 component of &alpha;-ketoacid dehydrogenase complexes
1.8.1.4-RXN				Diaphorase
RXN-14261	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.25	amylomaltase
RXN-14261				4-alpha-glucanotransferase
RXN0-949	brassica_napus	LEFT-TO-RIGHT	EC-2.8.1.8	lipoate synthase
RXN3O-4113	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.1	alcohol dehydrogenase (NAD)
RXN-17878	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.18	methionine aminopeptidase
RXNQT-4328	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.195	UDP-glucose:7-methylthioheptylhydroximate S-glucosyltransferase
RXN-10699	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.16	acetyl-CoA C-acyltransferase
3.4.22.47-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.22.47	
2.4.1.143-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.143	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
RXN-14492	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.199	3-oxo-lesqueroloyl-CoA synthase
RXN-14492				3-oxo-cerotoyl-CoA synthase
RXN-14492				3-oxo-arachidoyl-CoA synthase
ACYLACPSYNTH-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.20	long-chain fatty acid [acyl-carrier-protein] ligase
RXN-16113	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.134	3-hydroxy-behenoyl-CoA dehydratase
RXN-13142	brassica_napus	LEFT-TO-RIGHT	EC-5.1.99.6	NADPHX epimerase
R310-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.84	indole-3-acetonitrile nitrile hydratase
R310-RXN				nitrile hydratase
RXN-9523	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.41	3-oxo-octanoyl-[acyl-carrier protein] synthase
RXN-9523				3-oxoacyl-[acyl-carrier-protein] synthase
RXN-9523				&beta;-ketooctanoyl-[acp] synthase
PROGESTERONE-5-ALPHA-REDUCTASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.22	progesterone 5-alpha-reductase
PROGESTERONE-5-ALPHA-REDUCTASE-RXN				steroid 5-&alpha;-reductase
PROGESTERONE-5-ALPHA-REDUCTASE-RXN				&Delta;4-steroid 5&alpha;-reductase (progesterone)
RXN-5962	brassica_napus	LEFT-TO-RIGHT	EC-1.14.99.45	zeinoxanthin epsilon hydroxylase
RXN-16559	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.211	
1.6.4.4-RXN	brassica_napus	REVERSIBLE	EC-1.8.1.8	protein-disulfide reductase
RXN-7682	brassica_napus	LEFT-TO-RIGHT	EC-1.17.1.4	xanthine dehydrogenase
HEME-OXYGENASE-DECYCLIZING-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.14.18	heme oxygenase (decyclizing)
HEME-OXYGENASE-DECYCLIZING-RXN				heme oxygenase
RXN-9025	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.1	maltodextrin phosphorylase
RXN-9025				phosphorylase
RXN-12173	brassica_napus	LEFT-TO-RIGHT	EC-4.2.2.23	rhamnogalacturonan endolyase
DIAMINOPIMDECARB-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.20	diaminopimelate decarboxylase
RXN-14981	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.23	(2R) naringenin 3-dioxygenase
RXN-14981				flavonol synthase
RXN-12820	brassica_napus	REVERSIBLE	EC-3.6.1.61	
SAICARSYN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.2.6	phosphoribosylaminoimidazolesuccinocarboxamide synthase
RXN-11573	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.187	23S rRNA m1G745 methyltransferase
RXN66-472	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.3	fatty aldehyde dehydrogenase
RXN66-472				aldehyde dehydrogenase (NAD)
RXN-6002	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.5	aldehyde dehydrogenase [NAD(P)+]
HALOALKANE-DEHALOGENASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.8.1.5	haloalkane dehalogenase
PNPOXI-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.5	pyridoxamine-phosphate oxidase
PNPOXI-RXN				pyridoxine 5'-phosphate oxidase
RXN-9246	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.319	Cb-isoeugenol synthase
RXN-16155	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.134	3-hydroxy-behenoyl-CoA dehydratase
4.2.1.93-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.93	ATP-dependent NAD(P)H-hydrate dehydratase
RXN-15838	brassica_napus	REVERSIBLE	EC-1.7.2.1	nitrite reductase (NO-forming)
3.3.2.10-RXN	brassica_napus	REVERSIBLE	EC-3.3.2.10	epoxide hydrolase
RXN-9847	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.107	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase
RXN-16630	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	(11Z)-3-oxo-icos-11-enoyl-[acp] reductase
RXN-16630				3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-16630				3-oxo-pimeloyl-[acp] methyl ester reductase
RXN-8092	brassica_napus	LEFT-TO-RIGHT	EC-1.2.3.1	aldehyde oxidase
OROPRIBTRANS-RXN	brassica_napus	REVERSIBLE	EC-2.4.2.10	orotate phosphoribosyltransferase
ASPARAGHYD-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.38	asparaginase
ASPARAGHYD-RXN			EC-3.5.1.1	cyanoalanine nitrilase
R621-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.12.17	nitric oxide dioxygenase
THIOL-OXIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.8.3.2	thiol oxidase
RXN1F-10	brassica_napus	REVERSIBLE	EC-1.3.1.33	protochlorophyllide reductase
RXN0-5408	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.25	inositol monophosphate 1-phosphatase
RXN0-5408				inositol monophosphate 4-phosphatase
RXN0-5408				inositol monophosphate phosphatase
RXN-12458	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase
RXN-12458				tRNA m1G37 methyltransferase
RXN66-306	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.70	14-demethyllanosterol &Delta;14 reductase
RXN66-306				delta14-sterol reductase
RXN-11347	brassica_napus	LEFT-TO-RIGHT	EC-2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide-transferase
GLYCOGEN-BRANCH-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.18	1,4-alpha-glucan branching enzyme
RXN-9658	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	trans hex-2-enoyl-[acp]-reductase
RXN-9658				enoyl-[acyl-carrier-protein] reductase (NADH)
RXN-17875	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.18	methionine aminopeptidase
RXN-709	brassica_napus	LEFT-TO-RIGHT	EC-5.3.3.1	&Delta;5-&Delta;4-isomerase
2.5.1.19-RXN	brassica_napus	REVERSIBLE	EC-2.5.1.19	3-phosphoshikimate-1-carboxyvinyltransferase
2.5.1.19-RXN				3-phosphoshikimate 1-carboxyvinyltransferase
2.5.1.43-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.43	nicotianamine synthase
RXN-13992	brassica_napus	REVERSIBLE	EC-3.5.4.37	ADAR1
RXN-13992				ADAR2
RXN-13992				hADAR1a
RXN-13992				bADAR1a
RXN-9673	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.3	decanoate--CoA ligase
RXN-9673				long-chain fatty acid-CoA ligase
1.14.13.79-RXN	brassica_napus	LEFT-TO-RIGHT		ent-kaurenoate monooxygenase
1.14.13.79-RXN				ent-kaurenoate oxidase
RXN-12507	brassica_napus	LEFT-TO-RIGHT		
RXN0-5224	brassica_napus	REVERSIBLE	EC-4.2.1.1	carbonate dehydratase
RXN0-5224				carbonic anhydrase
2.1.1.5-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.5	betaine-homocysteine S-methyltransferase
METHENYLTHFCYCLOHYDRO-RXN	brassica_napus	REVERSIBLE	EC-3.5.4.9	methenyltetrahydrofolate cyclohydrolase
GMP-REDUCT-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.7.1.7	GMP reductase
RXN-9293	brassica_napus	REVERSIBLE	EC-1.3.99.24	
RXN-18272	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.80	
RXN-9597	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.21	primary amine oxidase
RXN-7913	brassica_napus	LEFT-TO-RIGHT	EC-2.7.4.25	cytidylate kinase
RXN-7913			EC-2.7.4.14	dCMP kinase
RXN-7913			EC-2.7.4.13	
RXN-14207	brassica_napus	REVERSIBLE	EC-2.7.1.40	pyruvate kinase
RXN-13711	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.72	4,4-dimethyl-5&alpha;-cholesta-8-en-3-&beta;-ol 4-monooxygenase
RXN-13711				C-4 methylsterol oxidase
RXN-17109	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.330	3-oxo-arachidoyl-CoA reductase
RXN-14799	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.16	acetyl-CoA C-acyltransferase
RXN6666-5	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.3	aldehyde dehydrogenase (NAD)
RXN0-901	brassica_napus	REVERSIBLE	EC-1.17.1.4	xanthine dehydrogenase
RXN0-1134	brassica_napus	LEFT-TO-RIGHT	EC-1.2.4.1	pyruvate dehydrogenase (acetyl-transferring)
RXN-1224	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.M2	UDP-sulfoquinovose:DAG sulfoquinovosyltransferase
RXN-7946	brassica_napus	LEFT-TO-RIGHT	EC-5.3.99.8	capsanthin synthase
RXN-2961	brassica_napus	LEFT-TO-RIGHT	EC-4.4.1.22	S-(hydroxymethyl)glutathione synthase
HISTIDINE-DECARBOXYLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.22	
RXN-14037	brassica_napus	REVERSIBLE		
NADH-DEHYDROGENASE-QUINONE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.6.5.11	NADH dehydrogenase (quinone)
RXN-17947	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.31	nucleotidase
RXN0-5187	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.102	
RXN-10659	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	3-oxo-cis-&Delta;9-hexadecenoyl-[acp] reductase
RXN-10659				3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-10659				3-oxo-pimeloyl-[acp] methyl ester reductase
ACETYLGLUTKIN-RXN	brassica_napus	REVERSIBLE	EC-2.7.2.8	acetylglutamate kinase
RXN-9023	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.25	4-&alpha;-glucanotransferase
RXN-9023				4-alpha-glucanotransferase
RXN-15294	brassica_napus	LEFT-TO-RIGHT	EC-1.16.3.2	non-heme bacterial ferritin
RXN-16044	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.23	1-acylglycerophosphocholine O-acyltransferase
RXN1G-3641	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.79	cis-&Delta;21-39-hydroxy-40-methyl-C59:1-[acp] reductase
RXN1G-3641				cyclopropane-fatty-acyl-phospholipid synthase
RXN1G-3641				enoyl-[acyl-carrier-protein] reductase
RXN-16664	brassica_napus	LEFT-TO-RIGHT	EC-3.4.17.13	L,D-carboxypeptidase
RXN-14049	brassica_napus	LEFT-TO-RIGHT		L-cysteine desulfhydrase
RXN-14049				cystathionine gamma-lyase
RXN-18245	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.37	type 2 H-antigen N-acetyl-&alpha;-D-galactosaminyltransferase
RXN1G-349	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	3-oxo-arachidoyl-[acp] reductase
RXN1G-349				3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN1G-349				3-oxo-pimeloyl-[acp] methyl ester reductase
RXN-12019	brassica_napus	LEFT-TO-RIGHT	EC-1.8.4.10	phosphoadenylyl-sulfate reductase
RXN-14801	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.119	trans--2-enoyl-CoA hydratase 2
RXN-16096	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.134	3-hydroxy-behenoyl-CoA dehydratase
RXN-15292	brassica_napus	LEFT-TO-RIGHT		
3.2.1.17-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.17	lysozyme
3.4.11.22-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.22	
PREPHENATE-ASP-TRANSAMINE-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.78	aspartate-prephenate aminotransferase
RXN-9533	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	fatty-acyl-CoA synthase
RXN-9533			EC-2.3.1.85	3-hydroxyacyl-[acyl-carrier-protein] dehydratase
RXN-9533			EC-4.2.1.59	(3R)-3-hydroxydodecanoyl-[acyl-carrier protein] dehydratase
RXN-9533				fatty acid synthase
ALLENE-OXIDE-CYCLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-5.3.99.6	allene oxide cyclase
RXN-15745	brassica_napus	LEFT-TO-RIGHT	EC-1.1.5.3	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase
GAMMA-GLUTAMYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.2.2	gamma-glutamyltransferase
HISTAMINOTRANS-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.6.1.9	L-phenylalanine:2-oxoglutarate aminotransferase
HISTAMINOTRANS-RXN				histidinol-phosphate transaminase
RXN-8001	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.23	
RXN-14281	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.20	alpha-1,4-glucosidase
DEHYDDEOXPHOSGALACT-ALDOL-RXN	brassica_napus	REVERSIBLE	EC-4.1.2.55	2-oxo-3-deoxygalactonate 6-phosphate aldolase
DEHYDDEOXPHOSGALACT-ALDOL-RXN			EC-4.1.2.21	
2.3.1.180-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.180	beta-ketoacyl-acyl-carrier-protein synthase III
RXN0-5226	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.52	glcNAc-1,6-anhMurNAcaminidase
RXN0-5226				beta-N-acetylhexosaminidase
2.4.1.122-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.122	[glycoprotein]-N-acetylgalactosamine &beta;-1,3-galactosyltransferase
RXN-14794	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.119	trans--2-enoyl-CoA hydratase 2
RXN-14062	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.167	wogonin-&beta;-D-glucuronidase
CERAMIDE-KINASE-RXN	brassica_napus	REVERSIBLE	EC-2.7.1.138	ceramide kinase
RXN-17018	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.15	glycerol-3-phosphate O-acyltransferase
RXN-17018				acyl-acp:sn-glycerol-3-phosphate 1-O-acyltransferase (glycerol-3-phosphate acyltransferase)
MERCAPYSTRANS-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.8.1.2	3-mercaptopyruvate sulfurtransferase
