gene	in@metabolic_network	TRANSCRIPTION-DIRECTION	RIGHT-END-POSITION	LEFT-END-POSITION	CENTISOME-POSITION
BnaA05g23110D	brassica_napus	NEGATIVE	17527979	17520803	75.95418    
BnaC02g38080D	brassica_napus	POSITIVE	41013966	41011091	88.72672    
BnaA01g29270D	brassica_napus	NEGATIVE	20226735	20224908	86.9221    
BnaC08g14610D	brassica_napus	NEGATIVE	19389507	19387991	50.38841    
BnaC09g33650D	brassica_napus	POSITIVE	36909983	36905243	76.08039    
BnaA02g07830D	brassica_napus	NEGATIVE	3713808	3707952	14.955197    
BnaC06g38540D	brassica_napus	NEGATIVE	36078239	36074228	96.90613    
BnaA01g10990D	brassica_napus	NEGATIVE	5480794	5479354	23.549028    
BnaC06g16410D	brassica_napus	NEGATIVE	19404417	19402882	52.121925    
BnaC09g33260D	brassica_napus	NEGATIVE	36429314	36423995	75.088295    
BnaA10g10180D	brassica_napus	POSITIVE	8755809	8753937	50.315105    
BnaC09g04130D	brassica_napus	NEGATIVE	2360643	2356337	4.8576035    
BnaA09g36770D	brassica_napus	NEGATIVE	26567238	26561634	78.4331    
BnaC03g70280D	brassica_napus	NEGATIVE	59902596	59900174	98.888596    
BnaC02g13270D	brassica_napus	POSITIVE	8514311	8513196	18.418139    
BnaA09g33490D	brassica_napus	POSITIVE	24698916	24695311	72.92209    
BnaA03g54780D	brassica_napus	POSITIVE	6719	5405	8.98570100e-2
BnaAnng10690D	brassica_napus	POSITIVE	11523917	11521048	23.677443    
BnaC07g02390D	brassica_napus	POSITIVE	3085909	3082498	6.8851137    
BnaC02g30790D	brassica_napus	POSITIVE	32660858	32659056	70.65726    
BnaCnng42960D	brassica_napus	POSITIVE	42110703	42107757	52.19633    
BnaC09g47160D	brassica_napus	POSITIVE	46666581	46664083	96.1983    
BnaA06g32360D	brassica_napus	NEGATIVE	21601014	21598978	88.533516    
BnaC05g47230D	brassica_napus	POSITIVE	42332371	42331911	98.024055    
BnaA06g39120D	brassica_napus	POSITIVE	1340276	1336044	58.424686    
BnaC01g39340D	brassica_napus	POSITIVE	38018149	38016441	97.90654    
BnaC08g42850D	brassica_napus	POSITIVE	36866822	36862913	95.80484    
BnaAnng28270D	brassica_napus	POSITIVE	32242235	32241389	66.26078    
BnaAnng19980D	brassica_napus	POSITIVE	21794867	21794221	44.790318    
BnaC04g11240D	brassica_napus	NEGATIVE	8713467	8711809	17.80455    
BnaC08g40480D	brassica_napus	NEGATIVE	35648043	35646497	92.64343    
BnaA06g28740D	brassica_napus	NEGATIVE	19687671	19685605	80.69066    
BnaA02g06460D	brassica_napus	POSITIVE	3091781	3089662	12.461462    
BnaC04g47290D	brassica_napus	NEGATIVE	46344445	46342113	94.71058    
BnaC05g49690D	brassica_napus	POSITIVE	446827	446438	11.974384    
BnaA02g14920D	brassica_napus	POSITIVE	8546239	8545261	34.4654    
BnaA09g31260D	brassica_napus	NEGATIVE	23279034	23277665	68.735954    
BnaA06g30780D	brassica_napus	NEGATIVE	20813569	20812199	85.30854    
BnaC05g09790D	brassica_napus	POSITIVE	5481256	5479396	12.688126    
BnaAnng32540D	brassica_napus	POSITIVE	37152468	37148966	76.34657    
BnaA01g15180D	brassica_napus	POSITIVE	7749562	7742393	33.27506    
BnaA02g24450D	brassica_napus	POSITIVE	17801046	17800201	71.79314    
BnaA06g01320D	brassica_napus	POSITIVE	834813	833498	3.4164815    
BnaA08g25300D	brassica_napus	NEGATIVE	17414983	17411623	91.824066    
BnaA02g17370D	brassica_napus	NEGATIVE	10518773	10515393	42.41149    
BnaC09g40460D	brassica_napus	NEGATIVE	42883948	42882413	88.40236    
BnaC07g04500D	brassica_napus	NEGATIVE	7039789	7039354	15.7232065    
BnaC04g51800D	brassica_napus	POSITIVE	27774	26021	0.5867583    
BnaA03g28430D	brassica_napus	POSITIVE	13886015	13884555	46.643353    
BnaC01g26000D	brassica_napus	POSITIVE	22389029	22387910	57.657234    
BnaC04g30730D	brassica_napus	NEGATIVE	32615874	32602367	66.63031    
BnaA10g26930D	brassica_napus	POSITIVE	17065275	17062378	98.06963    
BnaCnng75040D	brassica_napus	NEGATIVE	76026314	76024827	94.23957    
BnaC03g32260D	brassica_napus	POSITIVE	19862503	19861283	32.78879    
BnaCnng06590D	brassica_napus	NEGATIVE	5761631	5759780	7.1397624    
BnaC06g10420D	brassica_napus	NEGATIVE	12619524	12619051	33.898533    
BnaC03g13740D	brassica_napus	POSITIVE	6629523	6629023	10.943787    
BnaC04g18710D	brassica_napus	POSITIVE	18559648	18556046	37.923477    
BnaA10g22690D	brassica_napus	NEGATIVE	15223391	15221682	87.489845    
BnaA05g23410D	brassica_napus	POSITIVE	17734074	17730293	76.86232    
BnaA07g34340D	brassica_napus	NEGATIVE	23383520	23381663	97.39714    
BnaCnng38940D	brassica_napus	NEGATIVE	37579888	37578107	46.581425    
BnaC06g18540D	brassica_napus	POSITIVE	20890868	20889804	56.11624    
BnaC03g59290D	brassica_napus	NEGATIVE	48586137	48584517	80.20769    
BnaA02g04550D	brassica_napus	NEGATIVE	2037559	2035731	8.210667    
BnaC03g15540D	brassica_napus	POSITIVE	7773747	7772325	12.831253    
BnaC05g11710D	brassica_napus	POSITIVE	6812025	6811093	15.771812    
BnaC03g77460D	brassica_napus	POSITIVE	5936456	5934727	91.1658    
BnaA01g15800D	brassica_napus	POSITIVE	8109411	8102751	34.823795    
BnaCnng08320D	brassica_napus	POSITIVE	7692369	7690698	9.533308    
BnaA06g37000D	brassica_napus	NEGATIVE	24142965	24141291	98.95438    
BnaC03g47990D	brassica_napus	POSITIVE	33011399	33009174	54.49451    
BnaA06g03420D	brassica_napus	NEGATIVE	2087435	2084656	8.544937    
BnaC03g31970D	brassica_napus	POSITIVE	19664789	19662060	32.459896    
BnaA07g22470D	brassica_napus	NEGATIVE	17134326	17132914	71.36775    
BnaA09g37460D	brassica_napus	POSITIVE	26931069	26928517	79.51645    
BnaC07g49750D	brassica_napus	NEGATIVE	2177465	2175845	73.781166    
BnaA03g36620D	brassica_napus	POSITIVE	17992234	17988522	60.43009    
BnaA10g26080D	brassica_napus	POSITIVE	16687816	16685098	95.90113    
BnaA08g18990D	brassica_napus	NEGATIVE	14705125	14703826	77.54389    
BnaA03g04500D	brassica_napus	NEGATIVE	2106720	2104716	7.070519    
BnaC04g27780D	brassica_napus	NEGATIVE	29166517	29160453	59.595978    
BnaA10g15160D	brassica_napus	NEGATIVE	11863999	11860856	68.17278    
BnaCnng61240D	brassica_napus	NEGATIVE	61139854	61139720	75.788155    
BnaA03g23790D	brassica_napus	NEGATIVE	11411260	11402694	38.305862    
BnaA03g45530D	brassica_napus	NEGATIVE	23178076	23175897	77.8564    
BnaA06g12510D	brassica_napus	POSITIVE	6500336	6495141	26.623375    
BnaA02g08160D	brassica_napus	POSITIVE	3874334	3869487	15.606711    
BnaC08g13460D	brassica_napus	POSITIVE	18622003	18615748	48.381386    
BnaCnng69050D	brassica_napus	NEGATIVE	68840396	68838440	85.331406    
BnaC04g03780D	brassica_napus	POSITIVE	2781503	2779373	5.6802773    
BnaA06g37110D	brassica_napus	NEGATIVE	24204690	24197980	99.186745    
BnaA02g08820D	brassica_napus	NEGATIVE	4405791	4403537	17.760683    
BnaC01g15100D	brassica_napus	POSITIVE	10261956	10259472	26.421972    
BnaCnng41290D	brassica_napus	POSITIVE	40068399	40066693	49.66625    
BnaA07g38750D	brassica_napus	POSITIVE	1816133	1814841	87.68563    
BnaCnng19590D	brassica_napus	NEGATIVE	18364472	18359244	22.757925    
BnaA02g00600D	brassica_napus	POSITIVE	229086	225429	0.90921754    
BnaCnng37210D	brassica_napus	POSITIVE	35591610	35590308	44.11737    
BnaCnng59820D	brassica_napus	NEGATIVE	59600461	59597260	73.87614    
BnaA01g29140D	brassica_napus	NEGATIVE	20173388	20167283	86.67444    
BnaC06g19730D	brassica_napus	POSITIVE	21895259	21892451	58.80965    
BnaC05g43040D	brassica_napus	NEGATIVE	40096226	40093252	92.8402    
BnaA07g01160D	brassica_napus	NEGATIVE	829700	829446	3.4550865    
BnaC05g02790D	brassica_napus	NEGATIVE	1373270	1371233	3.1752362    
BnaA04g12170D	brassica_napus	NEGATIVE	10388937	10387563	54.238445    
BnaC06g08280D	brassica_napus	NEGATIVE	9145064	9143117	24.561136    
BnaAnng14330D	brassica_napus	NEGATIVE	15468558	15466661	31.786257    
BnaC04g22100D	brassica_napus	NEGATIVE	23252419	23250750	47.518166    
BnaA01g04490D	brassica_napus	NEGATIVE	2096808	2094886	9.003348    
BnaA09g12500D	brassica_napus	NEGATIVE	6626039	6624135	19.560219    
BnaA03g08310D	brassica_napus	POSITIVE	3759076	3756130	12.618229    
BnaA06g28120D	brassica_napus	NEGATIVE	19312260	19310285	79.15223    
BnaC07g28270D	brassica_napus	NEGATIVE	33458801	33456736	74.72946    
BnaC01g39620D	brassica_napus	POSITIVE	38247518	38245843	98.497345    
BnaC02g40930D	brassica_napus	POSITIVE	43925816	43923890	95.0285    
BnaC06g27060D	brassica_napus	POSITIVE	28539904	28537043	76.659004    
BnaA03g16420D	brassica_napus	POSITIVE	7663315	7658872	25.728983    
BnaC07g46660D	brassica_napus	NEGATIVE	44185248	44180768	98.68282    
BnaC02g34560D	brassica_napus	POSITIVE	37160672	37156479	80.387344    
BnaA03g04330D	brassica_napus	NEGATIVE	2031754	2030290	6.8204947    
BnaC03g49840D	brassica_napus	POSITIVE	34682755	34681312	57.255028    
BnaCnng78070D	brassica_napus	NEGATIVE	79648336	79648109	98.73096    
BnaC05g23120D	brassica_napus	POSITIVE	17217631	17216528	39.866707    
BnaC02g01700D	brassica_napus	NEGATIVE	733102	728532	1.5761653    
BnaC06g27770D	brassica_napus	NEGATIVE	29148814	29147487	78.298836    
BnaC03g60860D	brassica_napus	NEGATIVE	49993382	49992388	82.53193    
BnaC04g02480D	brassica_napus	POSITIVE	1864820	1861971	3.8053586    
BnaC07g35650D	brassica_napus	NEGATIVE	37987766	37986338	84.84684    
BnaCnng64220D	brassica_napus	POSITIVE	63958031	63956826	79.280205    
BnaA02g12450D	brassica_napus	NEGATIVE	6681009	6678683	26.936977    
BnaA02g28260D	brassica_napus	POSITIVE	20816794	20814079	83.948944    
BnaA07g20950D	brassica_napus	NEGATIVE	16311782	16310333	67.94127    
BnaA01g09140D	brassica_napus	POSITIVE	4465851	4465070	19.189865    
BnaC01g33800D	brassica_napus	POSITIVE	33018948	33017747	85.03304    
BnaA09g45180D	brassica_napus	NEGATIVE	30935916	30933376	91.342285    
BnaC02g10560D	brassica_napus	NEGATIVE	6088576	6086780	13.1686325    
BnaA04g21600D	brassica_napus	POSITIVE	16467995	16467736	85.98595    
BnaC03g74380D	brassica_napus	POSITIVE	2312730	2307957	35.453487    
BnaA06g17010D	brassica_napus	NEGATIVE	9642445	9639800	39.51323    
BnaC05g35150D	brassica_napus	POSITIVE	34471133	34469145	79.81698    
BnaC06g04440D	brassica_napus	POSITIVE	5134268	5133762	13.790814    
BnaC07g18060D	brassica_napus	POSITIVE	24662852	24659490	55.079807    
BnaC03g04340D	brassica_napus	NEGATIVE	2078804	2072261	3.4210749    
BnaAnng21510D	brassica_napus	NEGATIVE	23974254	23970929	49.26377    
BnaC02g13370D	brassica_napus	NEGATIVE	8559670	8556824	18.512527    
BnaA10g20130D	brassica_napus	NEGATIVE	14133386	14131234	81.22226    
BnaA01g25370D	brassica_napus	NEGATIVE	17746064	17745263	76.265144    
BnaC09g23920D	brassica_napus	POSITIVE	21666564	21664784	44.662086    
BnaA09g44600D	brassica_napus	POSITIVE	30638108	30634260	90.45904    
BnaC06g10090D	brassica_napus	NEGATIVE	12096343	12094215	32.488667    
BnaA10g29630D	brassica_napus	POSITIVE	1825167	1824499	80.07801    
BnaA06g04490D	brassica_napus	NEGATIVE	2659566	2656459	10.88874    
BnaA10g06740D	brassica_napus	POSITIVE	5268986	5263783	30.254707    
BnaA06g33270D	brassica_napus	NEGATIVE	22015179	22014226	90.2356    
BnaC04g38970D	brassica_napus	POSITIVE	40067101	40063429	81.87868    
BnaC02g22470D	brassica_napus	POSITIVE	19536450	19535211	42.26406    
BnaA10g19460D	brassica_napus	POSITIVE	13825189	13821489	79.44193    
BnaC03g28920D	brassica_napus	POSITIVE	17112099	17111629	28.249413    
BnaC09g16170D	brassica_napus	POSITIVE	13198556	13197152	27.206013    
BnaC08g46360D	brassica_napus	POSITIVE	346583	346119	7.659317    
BnaA09g25950D	brassica_napus	NEGATIVE	19109797	19107236	56.421215    
BnaA02g33160D	brassica_napus	POSITIVE	23732358	23731064	95.71395    
BnaA08g06130D	brassica_napus	POSITIVE	6060608	6058375	31.950184    
BnaC05g02880D	brassica_napus	NEGATIVE	1390922	1387972	3.2139971    
BnaC03g20680D	brassica_napus	NEGATIVE	10978877	10976862	18.12159    
BnaC08g05110D	brassica_napus	NEGATIVE	6011734	6010683	15.621460    
BnaC03g18190D	brassica_napus	NEGATIVE	9312136	9309734	15.369346    
BnaA04g25230D	brassica_napus	NEGATIVE	18236868	18235675	95.21721    
BnaA06g24520D	brassica_napus	POSITIVE	17027889	17023921	69.7805    
BnaA06g14400D	brassica_napus	NEGATIVE	7789386	7784018	31.906437    
BnaA01g24160D	brassica_napus	POSITIVE	16566464	16564578	71.19082    
BnaA05g14800D	brassica_napus	POSITIVE	9301906	9300412	40.318077    
BnaCnng53720D	brassica_napus	POSITIVE	53394404	53393587	66.18613    
BnaA04g00270D	brassica_napus	POSITIVE	186219	185911	0.9707305    
BnaA04g11930D	brassica_napus	POSITIVE	10209433	10207792	53.299778    
BnaA04g13700D	brassica_napus	POSITIVE	11606571	11604967	60.595097    
BnaA05g17620D	brassica_napus	NEGATIVE	12525874	12523968	54.292465    
BnaC04g43050D	brassica_napus	POSITIVE	43477334	43473406	88.84774    
BnaA03g46510D	brassica_napus	NEGATIVE	23884164	23880653	80.22394    
BnaA09g11010D	brassica_napus	POSITIVE	5681863	5679525	16.770908    
BnaA02g03320D	brassica_napus	POSITIVE	1476935	1476120	5.9536004    
BnaA06g38310D	brassica_napus	POSITIVE	482408	480929	21.030838    
BnaC03g30250D	brassica_napus	POSITIVE	18323233	18322304	30.248106    
BnaA01g22720D	brassica_napus	NEGATIVE	15068110	15065884	64.74977    
BnaCnng66050D	brassica_napus	POSITIVE	65739039	65737552	81.48757    
BnaC03g68760D	brassica_napus	POSITIVE	58497483	58495542	96.5697    
BnaA03g14940D	brassica_napus	NEGATIVE	6881899	6881399	23.117163    
BnaA02g13330D	brassica_napus	POSITIVE	7325499	7323173	29.536385    
BnaA08g19320D	brassica_napus	POSITIVE	14893926	14892321	78.53796    
BnaC01g41100D	brassica_napus	POSITIVE	336040	334384	7.53521    
BnaC05g30210D	brassica_napus	NEGATIVE	29283868	29282309	67.806305    
BnaA03g24510D	brassica_napus	POSITIVE	11800136	11798903	39.636875    
BnaC06g29580D	brassica_napus	NEGATIVE	30487440	30476074	81.86781    
BnaA06g05860D	brassica_napus	NEGATIVE	3234124	3232638	13.250479    
BnaA01g18870D	brassica_napus	NEGATIVE	10353665	10353231	44.495853    
BnaC02g37290D	brassica_napus	POSITIVE	40206000	40204996	86.98275    
BnaC05g39540D	brassica_napus	POSITIVE	38023766	38020815	88.04125    
BnaC08g49220D	brassica_napus	NEGATIVE	4110003	4109172	90.93245    
BnaA02g14910D	brassica_napus	NEGATIVE	8544789	8543407	34.457924    
BnaC07g20470D	brassica_napus	POSITIVE	27081945	27080959	60.488434    
BnaC05g11680D	brassica_napus	POSITIVE	6802003	6801123	15.748726    
BnaA02g05990D	brassica_napus	NEGATIVE	2768984	2766162	11.156697    
BnaA04g26150D	brassica_napus	NEGATIVE	18629616	18625384	97.25206    
BnaC09g14580D	brassica_napus	NEGATIVE	11179725	11177446	23.042376    
BnaA10g07950D	brassica_napus	NEGATIVE	6493331	6491863	37.31336    
BnaC07g27500D	brassica_napus	POSITIVE	32991837	32991277	73.689804    
BnaA08g12880D	brassica_napus	NEGATIVE	11320602	11318315	59.689648    
BnaA02g19820D	brassica_napus	POSITIVE	12279275	12278029	49.52069    
BnaCnng78370D	brassica_napus	NEGATIVE	80031412	80029735	99.20402    
BnaA01g26780D	brassica_napus	POSITIVE	18764145	18762046	80.63505    
BnaA03g53840D	brassica_napus	POSITIVE	28403809	28401760	95.41201    
BnaAnng22340D	brassica_napus	POSITIVE	25059326	25056197	51.494156    
BnaA10g08380D	brassica_napus	NEGATIVE	7143582	7142953	41.055634    
BnaC09g48250D	brassica_napus	NEGATIVE	47158730	47157390	97.215256    
BnaC03g61390D	brassica_napus	POSITIVE	50475021	50473623	83.32640    
BnaA08g07850D	brassica_napus	POSITIVE	7721096	7718658	40.706055    
BnaC07g27010D	brassica_napus	NEGATIVE	32647794	32640586	72.9065    
BnaC07g42380D	brassica_napus	NEGATIVE	41851055	41850792	93.478546    
BnaC03g28620D	brassica_napus	POSITIVE	16915315	16912835	27.92123    
BnaC03g69590D	brassica_napus	NEGATIVE	59400109	59399607	98.06221    
BnaC03g59840D	brassica_napus	NEGATIVE	49070607	49069109	81.0077    
BnaC05g08870D	brassica_napus	NEGATIVE	4739779	4739240	10.9742155    
BnaC08g24400D	brassica_napus	POSITIVE	26415612	26413722	68.64792    
BnaC02g15320D	brassica_napus	POSITIVE	10835695	10835309	23.441986    
BnaA06g31160D	brassica_napus	POSITIVE	20946948	20946060	85.85722    
BnaC03g37750D	brassica_napus	NEGATIVE	23091093	23087145	38.114334    
BnaA09g53100D	brassica_napus	NEGATIVE	890148	888546	21.49168    
BnaA04g23350D	brassica_napus	NEGATIVE	17390280	17389426	90.79853    
BnaA03g60570D	brassica_napus	POSITIVE	5350847	5338382	88.749504    
BnaA01g33140D	brassica_napus	NEGATIVE	22535002	22528619	96.82293    
