compound	INCHI-KEY	MOLECULAR-WEIGHT	COMMON-NAME	SMILES
2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX	InChIKey=ZQXNZNKHQXLVCV-HGJBZHBGSA-N	578.874    	3-demethylubiquinol-6	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=C(C(O)=C1C)O)O))C)C)C)C)C)C
2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX			2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	
DEOXY-D-RIBOSE-1-PHOSPHATE	InChIKey=KBDKAJNTYKVSEK-VPENINKCSA-L	212.096    	2-deoxy-&alpha;-D-ribose 1-phosphate	C1(C(O)C(CO)OC1OP(=O)([O-])[O-])
DEOXY-D-RIBOSE-1-PHOSPHATE			deoxy-D-ribose 1-phosphate	
DEOXY-D-RIBOSE-1-PHOSPHATE			2-deoxy-D-ribose-1-phosphate	
Fructofuranose			D-fructofuranose	
ACETYL-GLU	InChIKey=RFMMMVDNIPUKGG-YFKPBYRVSA-L	187.152    	N-acetyl-L-glutamate	CC(=O)NC(C([O-])=O)CCC(=O)[O-]
ACETYL-GLU			N-acetyl-L-glutamic acid	
ACETYL-GLU			acetyl-L-glu	
ACETYL-GLU			acetyl-L-glutamate	
ACETYL-GLU			NAG	
CPD-7417	InChIKey=GVRIYIMNJGULCZ-QLFWQTQQSA-M	325.294    	cis-coumarinic acid-&beta;-D-glucoside	C(C2(OC(OC1(C=CC=CC=1C=CC(=O)[O-]))C(C(C2O)O)O))O
CPD-7417			coumarinic acid glucoside	
CPD-7417			coumarinate glucoside	
CPD-568	InChIKey=MQTAVJHICJWXBR-UHFFFAOYSA-P	189.3    	N1-acetylspermidine	CC(=O)NCCC[N+]CCCC[N+]
CPD-568			an N-acetylspermidine	
ALPHA-D-GALACTOSE	InChIKey=WQZGKKKJIJFFOK-PHYPRBDBSA-N	180.157    	&alpha;-D-galactose	C(O)C1(OC(O)C(O)C(O)C(O)1)
ALPHA-D-GALACTOSE			6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetraol	
ALPHA-D-GALACTOSE			&alpha;-D-galactopyranose	
N-ACETYL-SEROTONIN	InChIKey=MVAWJSIDNICKHF-UHFFFAOYSA-N	218.255    	N-acetyl-serotonin	CC(=O)NCCC2(=CNC1(=C(C=C(O)C=C1)2))
N-ACETYL-SEROTONIN			N-acetyl-5-hydroxytryptamine	
ACETYL-GLUCOSAMINYL-ETCETERA-MANNOSYL-R			N-acetyl-&beta;-D-glucosaminyl-1,2-&alpha;-D-mannosyl-1,6-(N-acetyl-&beta;-D-glucosaminyl-1,2-&alpha;-D-mannosyl-1,3)-&beta;-D-mannosyl-[glycoprotein]	
ACETYL-GLUCOSAMINYL-ETCETERA-MANNOSYL-R			N-acetyl-&beta;-D-glucosaminyl-1,2-&alpha;-D-mannosyl-1,6-(N-acetyl-&beta;-D-glucosaminyl-1,2-&alpha;-D-mannosyl-1,3)-&beta;-D-mannosyl-R	
Fructooligosaccharides			a fructooligosaccharide	
Fructooligosaccharides			oligofructose	
Fructooligosaccharides			oligofructan	
CPD-4702	InChIKey=JHIWIFRQJXLNEU-GSQAGGHASA-M	427.646    	4&alpha;-carboxy-5&alpha;-cholesta-8,24-dien-3&beta;-ol	CC(C)=CCCC(C)[CH]3(CC[CH]4(C2(CC[CH]1(C(C([O-])=O)C(O)CCC(C)1C=2CCC(C)34))))
CPD-10806	InChIKey=JVJFIQYAHPMBBX-FNORWQNLSA-N	156.224    	4-hydroxy-2-nonenal	CCCCCC(O)[CH]=CC=O
CPD-10806			4HNE	
CPD-7867	InChIKey=LQZZUXJYWNFBMV-UHFFFAOYSA-N	186.337    	1-dodecanol	CCCCCCCCCCCCO
CPD-7867			n-dodecanol	
CPD-7867			dodecyl alcohol	
CPD-7867			dodecan-1-ol	
CPD-7867			lauric alcohol	
CPD-7867			lauryl alcohol	
CPD-7867			laurinic alcohol	
CPD-7867			lorol	
CPD-266	InChIKey=OYXZMSRRJOYLLO-RVOWOUOISA-N	402.659    	7&alpha;-hydroxycholesterol	CC(C)CCCC(C)[CH]3(CC[CH]4([CH]2(C(O)C=C1(CC(O)CCC(C)1[CH]2CCC(C)34))))
CPD-266			cholest-5-ene-3&beta;,7&alpha;-diol	
CPD-266			5-cholesten-3&beta;,7&alpha;-diol	
CPD-15656	InChIKey=CAVMKINPGRCURL-PHHHIDLGSA-J	929.765    	2-trans-undecenoyl-CoA	CCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
CPD-15656			2E-undecenoyl-CoA	
3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE	InChIKey=OYTRJEKRRFSKHF-BZVDQRPCSA-N	327.41    	3-(methylthio)propyl-desulfoglucosinolate	CSCCCC(=NO)SC1(OC(CO)C(O)C(O)C(O)1)
Wax-Esters			a wax ester	
13-HYDROPEROXYOCTADECA-911-DIENOATE	InChIKey=JDSRHVWSAMTSSN-IRQZEAMPSA-M	311.44    	(13S)-HPODE	CCCCCC(C=CC=CCCCCCCCC(=O)[O-])OO
13-HYDROPEROXYOCTADECA-911-DIENOATE			13(S)-hydroperoxy-9(Z),11(E)-octadecadienoate	
13-HYDROPEROXYOCTADECA-911-DIENOATE			(9Z,11E)-(13S)-13-hydroperoxyoctadeca-9,11-dienoate	
Fructose-BisPO4-Aldolase-Lysine			[fructose-bisphosphate aldolase]-lysine	
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE	InChIKey=PBBVWJQPAZYQDB-DBFWEQBMSA-L	636.476    	luteolin 7-O-&beta;-D-diglucuronide	C(C5(OC(OC1(C(C(C(C([O-])=O)OC1OC4(C=C3(C(C(C=C(C2(=CC=C(C(=C2)O)O))O3)=O)=C(C=4)O)))O)O))C(C(C5O)O)O))([O-])=O
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE			luteolin 7-O-[&beta;-D-glucosyluronate-(1->2)-&beta;-D-glucuronide]	
Wound-RNA			wound RNA	
Fructose-BisPO4-Aldolase-Tri-Me-Lysine			a [fructose-bisphosphate aldolase]-N6, N6,N6-trimethyl-L-lysine	
CARBAMOYL-P	InChIKey=FFQKYPRQEYGKAF-UHFFFAOYSA-L	139.004    	carbamoyl phosphate	C(=O)(N)OP(=O)([O-])[O-]
CARBAMOYL-P			carbamoyl-P	
CARBAMOYL-P			carbamyl-phosphate	
XANTHINE	InChIKey=LRFVTYWOQMYALW-UHFFFAOYSA-N	152.112    	xanthine	C12(NC(=O)NC(C=1N=CN2)=O)
XANTHINE			2,6-dioxopurine	
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ	InChIKey=ATQQULXELMEJIX-NSUIJKAQSA-N	562.874    	6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=CC(=C1C)O)O))C)C)C)C)C
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ			5-demethoxyubiquinol-6	
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ			DMQH2	
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ			2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinol	
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ			6-methoxy-3-methyl-2-hexaprenyl-1,4-benzoquinol	
3-METHYLTHIOPROPYL-GLUCOSINOLATE	InChIKey=ZCZCVJVUJGULMO-BZVDQRPCSA-M	406.46    	glucoiberverin	CSCCCC(=NOS(=O)(=O)[O-])SC1(OC(CO)C(O)C(O)C(O)1)
3-METHYLTHIOPROPYL-GLUCOSINOLATE			3-(methylthio)propyl-glucosinolate	
CPD-7418	InChIKey=PMOWTIHVNWZYFI-WAYWQWQTSA-M	163.152    	coumarinate	C(C=CC1(=C(C=CC=C1)O))(=O)[O-]
CPD-7418			coumarinic acid	
DEOXY-HYDROXYMETHYLCYTIDINE-PHOSPHATE	InChIKey=BTIWPBKNTZFNRI-XLPZGREQSA-L	335.21    	2'-deoxy-5-hydroxymethylcytidine 5'-phosphate	C(O)C2(C(=NC(N(C1(OC(C(C1)O)COP([O-])(=O)[O-]))C=2)=O)N)
DEOXY-HYDROXYMETHYLCYTIDINE-PHOSPHATE			5-hydroxymethyldeoxycytidylate	
CPD-1081	InChIKey=PESKGJQREUXSRR-UXIWKSIVSA-N	386.66    	5&alpha;-cholestan-3-one	CC(C)CCCC(C)[CH]3(CC[CH]4([CH]2(CC[CH]1(CC(=O)CCC(C)1[CH]2CCC(C)34))))
CPD-15657	InChIKey=JIOGXINZSOQEGE-MAWALYKISA-J	947.78    	(3R)-hydroxy-undecanoyl-CoA	CCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
L-arabinopyranose				
ALPHA-D-GALACTOSYL-ETCETERA-GLUCOSAMINYL			an &alpha;-D-galactosyl-(1,3)-&beta;-D-galactosyl-(1,4)-N-acetyl-D-glucosaminyl-R	
ALPHA-D-GALACTOSYL-ETCETERA-GLUCOSAMINYL			an &alpha;-D-galactosyl-(1,3)-&beta;-D-galactosyl-(1,4)-N-acetyl-D-glucosaminyl-[glycoprotein]	
L-arginyl-3-sulfino-L-alaninyl-Peptides			an N-terminal L-arginiyl-3-sulfino-L-alanyl-[protein]	
CPD-13006	InChIKey=HDEIGSIJUBUHSO-UHFFFAOYSA-L	245.268    	2-benzyl-thiohydroximate-O-sulfate	C1(C=CC(=CC=1)CC(=NOS([O-])(=O)=O)[S-])
CPD-13006			benzylglucosinolate aglycone	
CPD-10818	InChIKey=QMZRXYCCCYYMHF-UHFFFAOYSA-L	164.097    	isopentenyl phosphate	C=C(CCOP(=O)([O-])[O-])C
CPD-10818			isopentenyl-P	
CPD-6746	InChIKey=INAPMGSXUVUWAF-QWBQGLJISA-L	258.121    	1D-myo-inositol 2-monophosphate	C1(O)(C(O)C(O)C(OP([O-])([O-])=O)C(O)C(O)1)
CPD-6746			D-myo-inositol 2-monophosphate	
CPD-6746			Ins(2)P1	
CPD-6746			Ins(2)P	
CPD-6746			Ins2P	
ANDROST4ENE	InChIKey=AEMFNILZOJDQLW-QAGGRKNESA-N	286.413    	androst-4-ene-3,17-dione	CC34(CCC(=O)C=C(CC[CH]1([CH](CCC2(C)(C(CC[CH]12)=O))3))4)
ANDROST4ENE			4-androstene-3,17-dione	
ANDROST4ENE			androstenedione	
CPD-3604	InChIKey=OVRNDRQMDRJTHS-CBQIKETKSA-N	221.21    	N-acetyl-&alpha;-D-galactosamine	CC(NC1(C(C(C(OC1O)CO)O)O))=O
CPD-3604			N-acetylgalactosamine	
CPD-3604			acetylgalactosamine	
CPD-3604			2-acetamido-2-deoxy-D-galactopyranose	
CPD-3604			2-acetamido-2-deoxy-D-galactose	
CPD-3604			N-acetyl-D-chondrosamine	
CPD-3604			&alpha;-D-galactopyranose, 2-(acetylamino)-2-deoxy-	
CPD-3604			N-acetyl-D-galactosamine	
CPD-3604			&alpha;-GalNAc	
CPD-2742	InChIKey=UIKROCXWUNQSPJ-VIFPVBQESA-N	176.218    	cotinine	C1(=O)(CC[CH](N(C)1)C2(C=NC=CC=2))
G-5-prime-PP-5-prime-DNA			a 5'-(5'-diphosphoguanosine)-[DNA]	
G-5-prime-PP-5-prime-DNA			G5'pp5'DNA	
G-5-prime-PP-5-prime-DNA			a DNA with a 5'-terminal G5'pp cap	
L-arginyl-3-sulfo-L-alaninyl-Peptides			an N-terminal L-arginiyl-3-sulfo-L-alanyl-[protein]	
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL	InChIKey=ZAGWHOPYPMUKOK-FRICUITQSA-N	548.848    	2-methoxy-6-all trans-hexaprenyl-2-methoxy-1,4-benzoquinol	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(C(=C(OC)C=C(C=1)O)O))C)C)C)C)C
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL			2-methoxy-6-hexaprenyl-2-methoxy-1,4-benzoquinol	
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL			all-trans-6-methoxy-2-hexaprenylhydroquinone	
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL			2-hexaprenyl-6-methoxy-1,4-benzoquinol	
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL			6-methoxy-2-hexaprenylhydroquinone	
CPD-15658	InChIKey=PDYUUZANEPCZPL-JOQFVOQGSA-J	919.727    	(3R)-hydroxy-nonanoyl-CoA	CCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
CPD-471	InChIKey=QCHPKSFMDHPSNR-GSVOUGTGSA-N	103.121    	(R)-3-amino-2-methylpropanoate	CC(C[N+])C([O-])=O
CPD-471			D-3-amino-isobutanoate	
CPD-471			2-methyl-&beta;-alanine	
L-arginyl-L-Glutamyl-Peptides			an N-terminal L-arginiyl-L-glutamyl-[protein]	
CPD-571			an N-(long-chain-acyl)ethanolamine	
G-protein-coupled-receptors			a G protein-coupled receptor	
G-protein-coupled-receptors			GPCR	
G-protein-coupled-receptors			a seven-transmembrane domain receptor	
G-protein-coupled-receptors			a 7TM receptor	
G-protein-coupled-receptors			a heptahelical receptor	
G-protein-coupled-receptors			a serpentine receptor	
G-protein-coupled-receptors			a G protein\96linked receptor	
G-protein-coupled-receptors			GPLR	
LUTEOLIN-7-O-BETA-D-GLUCURONIDE	InChIKey=VSUOKLTVXQRUSG-ZFORQUDYSA-M	461.358    	luteolin 7-O-&beta;-D-glucuronide	C4(=C(C1(OC3(C(C(C=1)=O)=C(C=C(OC2(C(C(C(C(C([O-])=O)O2)O)O)O))C=3)O)))C=C(C(=C4)O)O)
LUTEOLIN-7-O-BETA-D-GLUCURONIDE			luteolin 7-O-glucuronide	
L-arginyl-L-aspartyl-Peptides			an N-terminal L-arginiyl-L-aspartyl-[protein]	
ALPHA-GLC-6-P	InChIKey=NBSCHQHZLSJFNQ-DVKNGEFBSA-L	258.121    	&alpha;-D-glucose 6-phosphate	C(OP(=O)([O-])[O-])C1(OC(O)C(O)C(O)C(O)1)
ALPHA-GLC-6-P			&alpha;-glucose 6-phosphate	
ALPHA-GLC-6-P			&alpha;-D-glucose-6-P	
CPD-5804	InChIKey=DZWLQKNUQNGEPR-HMUNZLOLSA-N	299.28    	p-aminobenzoate-&beta;-D-glucopyranosyl ester	C(C1(C(O)C(C(O)C(O1)OC(=O)C2(=CC=C(N)C=C2))O))O
CPD-5804			p-PAPA-Glc	
ALA-tRNAs			a tRNAala	
ALA-tRNAs			TRNA(ALA)	
CPD-7419	InChIKey=MICBIPJWKDDGNL-FILYMEKXSA-N	538.898    	&beta;-zeacarotene	CC(C)=CCCC(C)=CCCC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1(=C(C)CCCC(C)(C)1)
3-METHYLTHIOPROPYLHYDROXAMIC-ACID	InChIKey=LQVOUPXXRIMQIM-UHFFFAOYSA-N	165.268    	4-(methylthio)butyl-thiohydroximate	CSCCCC(=NO)S
3-METHYLTHIOPROPYLHYDROXAMIC-ACID			4-methylthiobutylthiohydroxamic-acid	
CPD-15661	InChIKey=SZKPLUULGGERFD-MSNZEOPQSA-J	927.749    	2-trans, 4-trans-undecadienoyl-CoA	CCCCCCC=CC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
CPD-15661			2E, 4E-undecadienoyl-CoA	
DEOXY-RIBOSE-5P			2-deoxy-D-ribose 5-phosphate	
CPD-3618	InChIKey=KDVFRMMRZOCFLS-UHFFFAOYSA-M	115.108    	2-oxovalerate	CCCC(=O)C(=O)[O-]
CPD-3618			2-ketopentanoate	
CPD-3618			2-oxopentanoate	
CPD-3618			&alpha;-ketovaleric acid	
CPD-3618			2-ketovalerate	
CPD-3618			&alpha;-ketovalerate	
CPD-3618			a-ketovaleric acid	
CPD-1301	InChIKey=RXWVHRYZTWZATH-XSLAGTTESA-J	699.633    	tetrahydropteroyl tri-L-glutamate	C([CH]2(NC1(C(NC(=NC=1NC2)N)=O)))NC3(=CC=C(C(NC(C(=O)[O-])CCC(NC(C(=O)[O-])CCC(NC(C(=O)[O-])CCC([O-])=O)=O)=O)=O)C=C3)
CPD-1301			H4PteGlu3	
13-HYDROXY-MAGNESIUM-PROTOPORP		613.974    	131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester	C=CC2(C(C)=C4(C=C8(C(C)=C(CCC(=O)[O-])C7(=N([Mg]35(N1(=C(C(C=C)=C(C)C1=CC=2N34)C=C6(C(C)=C(C(O)CC(=O)OC)C(N56)=C7))))8))))
13-HYDROXY-MAGNESIUM-PROTOPORP			131-hydroxy-Mg-protoporphyrin IX 13-monomethyl ester	
CPD-13014	InChIKey=UYXTWWCETRIEDR-UHFFFAOYSA-N	302.367    	tributyrin	CCCC(OCC(OC(CCC)=O)COC(CCC)=O)=O
CPD-13014			butyryl triglyceride	
CPD-13014			butanoic acid, 1,2,3-propanetriyl ester	
CPD-13014			1,2,3-tributyrylglycerol	
CPD-13014			tributin	
CPD-13014			tributyrinine	
CPD-13014			glycerol tributyrate	
CPD-13014			glyceryl tributyrate	
CPD-13014			butyrin	
DEOXYADENOSINE	InChIKey=OLXZPDWKRNYJJZ-RRKCRQDMSA-N	251.244    	2'-deoxyadenosine	C(O)C1(OC(CC(O)1)N3(C=NC2(=C(N)N=CN=C23)))
DEOXYADENOSINE			deoxyadenosine	
DEOXYADENOSINE			2-deoxy-adenosine	
G3P	InChIKey=OSJPPGNTCRNQQC-UWTATZPHSA-K	183.034    	3-phospho-D-glycerate	C(OP(=O)([O-])[O-])C(O)C(=O)[O-]
G3P			3-phospho-(R)-glycerate	
G3P			3-phospho-D-glyceric acid	
G3P			3-P-D-glycerate	
G3P			D-glycerate-3-P	
G3P			D-glycerate 3-phosphate	
G3P			3-phosphoglycerate	
G3P			D-3-phosphoglycerate	
L-glutamyl-tRNAGln			an L-glutamyl-[tRNAGln]	
L-glutamyl-tRNAGln			an L-glutamyl-tRNA(gln)	
L-glutamyl-tRNAGln			glu-tRNA(gln)	
CPD-2743	InChIKey=RWFBQHICRCUQJJ-NUHJPDEHSA-N	178.233    	nicotine-1'-N-oxide	C1(CC[CH](N(=O)(C)1)C2(=CN=CC=C2))
CPD-2743			nicotine N'-oxide	
CARBAMYUL-L-ASPARTATE	InChIKey=HLKXYZVTANABHZ-REOHCLBHSA-L	174.113    	N-carbamoyl-L-aspartate	C(=O)([O-])CC(NC(N)=O)C([O-])=O
CARBAMYUL-L-ASPARTATE			carbamyul-L-aspartate	
CARBAMYUL-L-ASPARTATE			carbamyul-aspartate	
CARBAMYUL-L-ASPARTATE			carbamoyl-aspartate	
CARBAMYUL-L-ASPARTATE			carbamyl-aspartate	
CARBAMYUL-L-ASPARTATE			carbamyl-L-aspartate	
2-HYDROXY-2-METHYLPROPANENITRILE	InChIKey=MWFMGBPGAXYFAR-UHFFFAOYSA-N	85.105    	2-hydroxy-2-methylpropanenitrile	CC(O)(C)C#N
2-HYDROXY-2-METHYLPROPANENITRILE			acetone cyanohydrin	
2-HYDROXY-2-METHYLPROPANENITRILE			2-hydroxyisobutyronitrile	
CPD-3617	InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-M	171.259    	decanoate	CCCCCCCCCC(=O)[O-]
CPD-3617			caprate	
CPD-3617			decanoic acid	
CPD-3617			n-decanoate	
CPD-3617			n-capric acid	
CPD-3617			caprinic acid	
CPD-3617			caprinate	
UDP	InChIKey=XCCTYIAWTASOJW-XVFCMESISA-K	401.14    	UDP	C(OP(=O)([O-])OP(=O)([O-])[O-])C1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2))
UDP			uridine-diphosphate	
UDP			uridine-5'-diphosphate	
CPD-5821	InChIKey=WHKYNCPIXMNTRQ-UHFFFAOYSA-M	201.118    	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline	C(C1(O)(NC(=O)N=C1NC(N)=O))(=O)[O-]
CPD-5821			5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H imidazole-5-carboxylate	
CPD-5821			OHCU	
CPD-787	InChIKey=ZBCBETMBSDTINL-NWJCXACMSA-L	170.121    	(2Z,4Z)-2-hydroxyhepta-2,4-dienedioate	C([O-])(=O)CC=CC=C(O)C(=O)[O-]
CPD-787			(2Z,4Z)-2-hydroxy-hept-2,4-diene-1,7-dioate	
CPD-787			HHDD	
CPD-787			(2Z,4Z)-2-hydroxyhepta-2,4-diene-1,7-dioate	
LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2	InChIKey=AEYXZGCDWDUIKX-OFFAAIFBSA-K	811.593    	luteolin 7-O-[&beta;-D-glucosyluronate-(1,2)-&beta;-D-glucosiduronate]-4'-O-&beta;-D-glucosiduronate	C(C6(OC(OC5(=CC=C(C1(OC4(C(C(C=1)=O)=C(C=C(OC2(C(C(C(C(C([O-])=O)O2)O)O)OC3(OC(C(C(C3O)O)O)C([O-])=O)))C=4)O)))C=C5O))C(C(C6O)O)O))(=O)[O-]
LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2			luteolin 7-O-[&beta;-D-glucosyluronate-(1->2)-&beta;-D-glucuronide]-4'-O-&beta;-D-glucuronide	
LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2			luteolin triglucuronide	
G5-pppR-mRNAs			a 5'-(5'-triphosphoguanosine)-purine-[mRNA]	
G5-pppR-mRNAs			a G(5')ppPur-mRNA	
G5-pppR-mRNAs			G(5')-ppp-R-[mRNA]	
G5-pppR-mRNAs			G5'ppp5'R-[mRNA]	
G5-pppR-mRNAs			a 5'-guanylated [mRNA]	
L-methionyl-L-alanyl-Protein			an N-terminal-L-methionyl-L-alanyl-[protein]	
CPD-474	InChIKey=CXQWRCVTCMQVQX-LSDHHAIUSA-M	303.248    	(+)-taxifolin	C1(C=C(O)C(O)=CC=1C2(OC3(C=C([O-])C=C(O)C(C(=O)C(O)2)=3)))
CPD-474			trans dihydroquercetin	
CPD-474			(+)-dihydroquercetin	
CPD-474			taxifolin	
CPD-15662	InChIKey=ANVRIWFXMMCUPH-QYZXFXBMSA-J	945.764    	(3R)-hydroxy, 4-trans-undecenoyl-CoA	CCCCCCC=CC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
CPD-15662			(3R)-hydroxy, 4E-undecenoyl-CoA	
CPD-7422	InChIKey=IGABZIVJSNQMPZ-DWQNOKSTSA-N	538.898    	&alpha;-zeacarotene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1(C(CCC=C1C)(C)C))C)C)C)C)C)C
ALPHA-GLUCOSE	InChIKey=WQZGKKKJIJFFOK-DVKNGEFBSA-N	180.157    	&alpha;-D-glucopyranose	C(O)C1(OC(C(C(C1O)O)O)O)
ALPHA-GLUCOSE			&alpha;-glucose	
ALPHA-GLUCOSE			&alpha;-D-glucose	
3-Methoxy-4-Hydroxy-5-Polyprenylbenzoate			a 3-methoxy-4-hydroxy-5-all-trans-polyprenylbenzoate	
CPD-1082	InChIKey=PESKGJQREUXSRR-JDIFZLMISA-N	386.66    	5&beta;-cholestan-3-one	CC(C)CCCC(C)[CH]3(CC[CH]4([CH]2(CC[CH]1(CC(=O)CCC(C)1[CH]2CCC(C)34))))
CPD-1082			beta-cholestan-3-one	
CPD-1082			coprostan-3-one	
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M		611.959    	131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester	C=CC2(C(C)=C4(C=C8(C(C)=C(CCC(=O)[O-])C7(=N([Mg]35(N1(=C(C(C=C)=C(C)C1=CC=2N34)C=C6(C(C)=C(C(=O)CC(=O)OC)C(N56)=C7))))8))))
ALPHA-GLUCOSE-16-BISPHOSPHATE	InChIKey=RWHOZGRAXYWRNX-VFUOTHLCSA-J	336.085    	&alpha;-glucose 1,6-bisphosphate	C(OP([O-])(=O)[O-])C1(OC(C(C(C1O)O)O)OP(=O)([O-])[O-])
ALPHA-GLUCOSE-16-BISPHOSPHATE			&alpha;-D-glucose 1,6-P2	
ALPHA-GLUCOSE-16-BISPHOSPHATE			&alpha;-D-glucopyranose 1,6-bisphosphate	
