pathway	COMMON-NAME	TAXONOMIC-RANGE
PWY-5434	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis	TAX-33090
PWY-5434	nerolidol biosynthesis	
PWY-5434	4,8-dimethyl-1,3(E),7-nonatriene biosynthesis	
PWY-5434	DMNT biosynthesis	
PWY-842	starch degradation I	TAX-4479
PWY-842	starch mobilization from cereal endosperm	
PWY-842	starch degradation from cereal endosperm	
PWY-7069	oleanolate biosynthesis	TAX-58024
CITRULLINE-DEG-PWY	L-citrulline degradation	TAX-2157
CITRULLINE-DEG-PWY		TAX-2759
CITRULLINE-DEG-PWY		TAX-2
PWY-5944	zeaxanthin biosynthesis	TAX-4751
PWY-5944		TAX-2
PWY-5944		TAX-2763
PWY-5944		TAX-3041
PWY-5944		TAX-33090
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	TAX-2
PWY0-1301	melibiose degradation	TAX-2759
PWY0-1301		TAX-2
PWY0-1301		TAX-2157
PWY-6920	6-gingerol analog biosynthesis (engineered)	
PWY-5331	taurine biosynthesis	TAX-2
PWY-5331	L-cysteine degradation IV	TAX-40674
PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)	
PWY-3041	monoterpene biosynthesis	TAX-58023
PWY-3041	limonene biosynthesis	
PWY-3041	myrcene biosynthesis	
PWY-3041	(E)-&beta;-ocimene biosynthesis	
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)	TAX-1224
PWY-3881	mannitol biosynthesis	TAX-58023
TRYPTOPHAN-DEGRADATION-1	L-tryptophan degradation III (eukaryotic)	TAX-4751
TRYPTOPHAN-DEGRADATION-1	the kynurenine pathway	TAX-33208
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis	TAX-4479
PWY-5912	DMA biosynthesis	
PWY-5912	Fe acquisition	
PWY-5912	iron acquisition	
PWY-5912	strategy II Fe-acquisition	
PWY-5194	siroheme biosynthesis	TAX-183980
PWY-5194		TAX-33090
PWY-5194		TAX-4751
PWY-5194		TAX-2
PWY-5743	3-hydroxypropanoate cycle	TAX-200795
PWY-5743	3-hydroxypropionate/malyl-CoA cycle	
PWY-5743	3-hydroxypropionate cycle	
PWY-6621	salicylate glucosides biosynthesis I	ORG-5993
PWY-6621	2,5-dihydroxybenzoate 2-O-&beta;-D-glucoside biosynthesis	
PWY-6621	2,5-dihydroxybenzoic acid 2-O-&beta;-D-glucoside biosynthesis	
PWY-6621	salicylic acid glucosides biosynthesis I	
PWY-7052	cyanophycin metabolism	TAX-2
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	TAX-2
CENTBENZCOA-PWY	central benzoyl-CoA pathway (anaerobic)	
PWY-5403	betaxanthin biosynthesis (via dopamine)	TAX-4751
PWY-5403		TAX-3524
PWY66-398	TCA cycle III (animals)	TAX-33208
PWY66-398	tricarboxylic acid cycle	
PWY66-398	citric acid cycle	
PWY66-398	Szent-Gyorgyi-Krebs cycle	
PWY66-398	Krebs cycle	
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)	TAX-2157
PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)	TAX-2759
PWY-7053		TAX-3041
PWY-7053		TAX-3208
PWY-6883	pyruvate fermentation to butanol II (engineered)	TAX-2759
PWY-6883	1-butanol synthesis	TAX-2
PWY-6008	baruol biosynthesis	TAX-3193
PWY-7341	superpathway of hyoscyamine and scopolamine biosynthesis	TAX-4070
PWY-7251	pentacyclic triterpene biosynthesis	TAX-33090
PWY-7251	pentacyclic triterpenoid biosynthesis	
PWY-7817	type I lipoteichoic acid biosynthesis (S. aureus)	TAX-1239
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	TAX-2
GALACT-GLUCUROCAT-PWY	galacturonate and glucuronate catabolism	
GALACT-GLUCUROCAT-PWY	superpathway of galacturonate and glucuronate degradation	
PWY-7230	ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)	TAX-4751
PWY-2941	L-lysine biosynthesis II	TAX-1239
PWY-13	superpathway of tetrahydroxyxanthone biosynthesis	TAX-58023
PWY-6698	oxalate degradation V	TAX-4751
PWY-6698		TAX-2
PWY-5896	superpathway of menaquinol-10 biosynthesis	TAX-201174
PWY-5896	vitamin K2 biosynthesis	TAX-976
PWY-5896	superpathway of menaquinone-10 biosynthesis	
PWY-7831	biosynthesis of ABH and Lewis epitopes from type 2 precursor disaccharide	TAX-33208
CAROTENOID-PWY	superpathway of carotenoid biosynthesis	TAX-4751
CAROTENOID-PWY		TAX-2763
CAROTENOID-PWY		TAX-1117
CAROTENOID-PWY		TAX-33090
PWYQT-4477	indole glucosinolate activation (intact plant cell)	TAX-3699
PWYQT-4477	indole glucosinolate breakdown (the PEN2 pathway)	
PWYQT-4477	indole glucosinolate breakdown (intact plant cell)	
PWY-6957	mandelate degradation to acetyl-CoA	TAX-1224
PWY0-1303	aminopropylcadaverine biosynthesis	TAX-2
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	TAX-2157
PWY-7187		TAX-2
PWY-5838	superpathway of menaquinol-8 biosynthesis I	TAX-183963
PWY-5838	vitamin K2 biosynthesis I	TAX-2
PWY-5838	superpathway of menaquinone-8 biosynthesis I	
PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	TAX-4751
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	TAX-2
PWY-5698		TAX-2759
PWY-7160	polymethylated myricetin biosynthesis (tomato)	TAX-91827
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	TAX-183963
PWY-2221		TAX-183924
PWY-6937	superpathway of testosterone and androsterone degradation	TAX-2
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation	TAX-4751
PWY-6516		TAX-2
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation (eukaryotic, high mannose)	TAX-2759
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	mannosyl-chito-dolichol biosynthesis	
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	eukaryotic N-linked glycosylation	
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis and attachment	
PWY-3301	sinapate ester biosynthesis	TAX-3700
PWY-5668	cardiolipin biosynthesis I	TAX-2
PWY-4381	fatty acid biosynthesis initiation I	TAX-2759
PWY-4381	de novo fatty acid biosynthesis, initial reactions	TAX-2
PWY-5122	geranyl diphosphate biosynthesis	TAX-2157
PWY-5122	GPP biosynthesis	TAX-2
PWY-5122		TAX-2759
PWY-7767	leucine degradation IV	TAX-2
PWY-5845	superpathway of menaquinol-9 biosynthesis	TAX-2
PWY-5845	vitamin K2 biosynthesis	
PWY-5845	superpathway of menaquinone-9 biosynthesis	
PWY-7795	terephthalate degradation	TAX-2
PWY-5936	xyloglucan biosynthesis	TAX-33090
PWY-6132	lanosterol biosynthesis	TAX-33154
PWY-6132		TAX-1224
PWY-6132		TAX-203682
LEUSYN-PWY	L-leucine biosynthesis	TAX-2157
LEUSYN-PWY		TAX-2
LEUSYN-PWY		TAX-4751
LEUSYN-PWY		TAX-33090
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	TAX-2
PWY-6894	vitamin B1 biosynthesis	
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)	
PWY-6848	rutin degradation	TAX-4751
PWY-6848	rutin catabolic pathway	
PWY-3961	phosphopantothenate biosynthesis II	TAX-3398
PWY-5390	rutin biosynthesis	TAX-3398
PWY-7782	plasmalogen biosynthesis	TAX-33208
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	TAX-1224
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-HPA degradation	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	homoprotocatechuate degradation	
PWY-5267	glucosinolate activation	TAX-3699
PWY-5267	glucosinolate hydrolysis	
PWY-5267	glucosinolate breakdown	
PWY-5267	glucosinolate degradation	
PWY-7199	pyrimidine deoxyribonucleosides salvage	TAX-554915
PWY-7199		TAX-33208
PWY-7199		TAX-33090
PWY-7199		TAX-2
PWY-7199		TAX-2157
PWY0-1325	superpathway of L-asparagine biosynthesis	TAX-2759
PWY0-1325		TAX-2
PWY-6691	plaunotol biosynthesis	TAX-33090
PWY-7819	poly(3-O-&beta;-D-glucopyranosyl-N-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis	TAX-1239
PWY-7819	minor teichoic acid biosynthesis	
PWY-7819	GlcGalNAc-1P teichoic acid biosynthesis	
PWY-6215	4-chlorobenzoate degradation	TAX-2
PWY-181	photorespiration	TAX-38254
PWY-181	C2 photorespiratory carbon oxidation cycle	TAX-2830
PWY-181	PCO cycle	TAX-543769
PWY-181		TAX-33634
PWY-181		TAX-3027
PWY-181		TAX-33682
PWY-181		TAX-2763
PWY-181		TAX-1117
PWY-181		TAX-33090
TREHALOSESYN-PWY	trehalose biosynthesis III	TAX-201174
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)	TAX-33090
PWY-6446	benzoic acid biosynthesis	
PWY-6446	benzoate biosynthesis III (CoA-dependent, &beta;-oxidative-independent)	
PWY-5257	superpathway of pentose and pentitol degradation	TAX-2157
PWY-5257		TAX-4751
PWY-5257		TAX-2
GLYCLEAV-PWY	glycine cleavage	TAX-2157
GLYCLEAV-PWY	glycine cleavage system	TAX-2759
GLYCLEAV-PWY	glycine decarboxylase complex	TAX-2
GLYCLEAV-PWY	gcv system	
GLYCLEAV-PWY	glycine cleavage complex	
PWY-2161	folate polyglutamylation	TAX-2759
PWY-2161		TAX-2
PWY-2161		TAX-2157
PWY-7616	methanol oxidation to carbon dioxide	TAX-2
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	TAX-58024
PWY-6525	stellariose and mediose biosynthesis	TAX-3568
PWY-6525	galactosyl-oligosaccharides biosynthesis	
PWY-2723	trehalose degradation V	TAX-4751
PWY3DJ-11281	sphingomyelin metabolism	TAX-2759
PWY3DJ-11281		TAX-2
PWY-5640	nitrobenzene degradation II	TAX-2
GLUTORN-PWY	L-ornithine biosynthesis I	TAX-2157
GLUTORN-PWY		TAX-2
PWY-5423	oleoresin monoterpene volatiles biosynthesis	TAX-3313
PWY-7622	UDP-galactofuranose biosynthesis	TAX-6231
PWY-7622		TAX-3052
PWY-7622		TAX-147538
PWY-7622		TAX-5654
PWY-7622		TAX-2
PWY-5739	GDP-D-perosamine biosynthesis	TAX-2
PWY-5739	GDP-&alpha;-D-perosamine biosynthesis	
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)	TAX-4751
PWY-6900	(Z)-butanethial-S-oxide biosynthesis	TAX-40553
PWY-6900	nectroscordum lachrymator biosynthesis	
PWY-7818	type IV lipoteichoic acid biosynthesis (S. pneumoniae)	TAX-1239
PWY-5278	sulfite oxidation III	TAX-2
PWY-4203	volatile benzenoid biosynthesis I (ester formation)	TAX-3398
GLUCONEO-PWY	gluconeogenesis I	TAX-4751
GLUCONEO-PWY		TAX-33090
GLUCONEO-PWY		TAX-2157
GLUCONEO-PWY		TAX-2
PWY-5004	superpathway of L-citrulline metabolism	TAX-33090
PWY-5004		TAX-33208
PWY-5135	xanthohumol biosynthesis	TAX-3481
PWY-5410	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis	TAX-3193
PWY-5410	13-lipoxygenase and 13-hydroperoxide lyase pathway	
PWY-5410	13-LOX and 13-HPL pathway	
PWY0-1545	cardiolipin biosynthesis III	
PWY-101	photosynthesis light reactions	TAX-1117
PWY-101		TAX-39119
PWY-101		TAX-38254
PWY-101		TAX-29197
PWY-101		TAX-38410
PWY-101		TAX-5747
PWY-101		TAX-2864
PWY-101		TAX-877183
PWY-101		TAX-2836
PWY-101		TAX-3027
PWY-101		TAX-2830
PWY-101		TAX-2833
PWY-101		TAX-3041
PWY-101		TAX-33682
PWY-101		TAX-2763
PWY-101		TAX-2870
PWY-101		TAX-2825
PWY-101		TAX-2
PWY-101		TAX-33090
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	TAX-2
PWY-5859	eugenol and isoeugenol biosynthesis	TAX-33090
PWY-7179	purine deoxyribonucleosides degradation I	TAX-2157
PWY-7179		TAX-2
P241-PWY	coenzyme B biosynthesis	TAX-183988
P241-PWY	7-mecaptoheptanoylthreonine phosphate biosynthesis	TAX-224756
P241-PWY	CoB biosynthesis	TAX-183939
P241-PWY		TAX-183925
PWY-5405	superpathway of betalain biosynthesis	TAX-71240
PWY-5405		TAX-4751
PWY-5506	methanol oxidation to formaldehyde IV	TAX-4751
PWY-6154	autoinducer AI-2 biosynthesis II (Vibrio)	TAX-135623
PWY-5840	superpathway of menaquinol-7 biosynthesis	TAX-2157
PWY-5840	vitamin K2 biosynthesis	TAX-2
PWY-5840	superpathway of menaquinone-7 biosynthesis	
PWY-6722	candicidin biosynthesis	TAX-1883
PWY-7398	coumarins biosynthesis (engineered)	TAX-4751
PWY-7398		TAX-33090
PWY-7398		TAX-2
URDEGR-PWY	superpathway of allantoin degradation in plants	TAX-33090
URDEGR-PWY	ureide degradation	
THREOCAT-PWY	superpathway of L-threonine metabolism	TAX-2
PWY-2541	plant sterol biosynthesis	TAX-3398
PWY-5332	sulfur reduction I	TAX-2
PWY-5332	sulfur respiration	TAX-2157
PWY-5332	sulphur respiration	
PWY-6936	seleno-amino acid biosynthesis	TAX-33090
PWY-6936	Se-amino acid biosynthesis	
PWY-6936	selenocysteine and selenomethionine biosynthesis	
PWY-1882	superpathway of C1 compounds oxidation to CO2	TAX-2
PWY66-201	nicotine degradation IV	TAX-40674
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	TAX-2
PWY-7176	UTP and CTP de novo biosynthesis	TAX-2157
PWY-7176		TAX-2759
PWY-7176		TAX-2
PWY-2661	trehalose biosynthesis V	TAX-2157
PWY-2661		TAX-2
PWY-3941	&beta;-alanine biosynthesis II	TAX-33090
PWY-3941	&beta;-alanine biosynthesis from proprionate	TAX-2
PWY-7758	bacteriochlorophyll d biosynthesis	TAX-191412
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	TAX-1239
ARGORNPROST-PWY	Stickland reaction	
PWY-5279	sulfite oxidation II	TAX-2
PWY-6789	(1,3)-&beta;-D-xylan degradation	TAX-4751
PWY-6789		TAX-2
PWY-5032	ent-kaurene biosynthesis I	TAX-33090
PWY-5032		TAX-4751
NAD-BIOSYNTHESIS-II	NAD salvage pathway III	TAX-2
NAD-BIOSYNTHESIS-II	nicotinamide adenine dinucleotide salvage	
PWY66-388	fatty acid &alpha;-oxidation III	TAX-33208
PWY-7129	quercetin glucoside biosynthesis (Allium)	TAX-58024
PWY-7212	baicalein metabolism	TAX-33090
PWY-7560	methylerythritol phosphate pathway II	TAX-5794
PWY-7560	nonmevalonate isopentenyl diphosphate biosynthesis	TAX-1117
PWY-7560	methylerythritol phosphate degradation	TAX-33090
PWY-7560	MEP degradation	
PWY-7560	deoxyxylulose phosphate pathway	
PWY-7560	DOXP pathway	
PWY-7560	Rohmer pathway	
PWY-7560	isopentenyl diphosphate biosynthesis -- mevalonate-independent	
PWY-7560	nonmevalonate isoprenoid pathway	
PWY-7560	MEP pathway	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	TAX-2759
ANAGLYCOLYSIS-PWY	anaerobic glycolysis	TAX-2
ANAGLYCOLYSIS-PWY	Embden-Meyerhof-Parnas pathway	
ANAGLYCOLYSIS-PWY	EMP pathway	
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	
PWY-7586	&beta;-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation	TAX-68336
PWY6666-1	anandamide degradation	TAX-33208
PWY-881	trehalose biosynthesis II	TAX-4751
PWY-881	trehalose biosynthesis 2	TAX-201174
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	TAX-3193
PWY-241	PCA cycle	
PWY-241	C4 photosynthesis, NADP-ME type	
PWY-5290	secologanin and strictosidine biosynthesis	TAX-24966
PWY-5290		TAX-26468
PWY-5290		TAX-4056
PWY-7580	phycoerythrobilin biosynthesis II	TAX-35237
PWY-7580		TAX-1117
PWY-7227	adenosine deoxyribonucleotides de novo biosynthesis	TAX-2759
PWY-7227		TAX-2157
PWY-7227		TAX-2
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	TAX-2
PWY-7283	wybutosine biosynthesis	TAX-2759
PWY-6578	8-amino-7-oxononanoate biosynthesis III	TAX-2
PWY-6578	7-keto-8-aminopelargonate biosynthesis III	
PWY-6901	superpathway of glucose and xylose degradation	TAX-2
TRPIAACAT-PWY	L-tryptophan degradation VII (via indole-3-pyruvate)	TAX-183924
TRPIAACAT-PWY		TAX-1224
PWY-5254	methanofuran biosynthesis	TAX-183980
PWY-5254		TAX-183988
PWY-5254		TAX-224756
PWY-5254		TAX-183939
PWY-5254		TAX-183925
PWY-5458	methylglyoxal degradation V	TAX-4751
PWY-5324	L-lysine degradation IX	TAX-4751
PWY-5317	hyoscyamine and scopolamine biosynthesis	TAX-4070
PWY-6620	guanine and guanosine salvage	TAX-33154
PWY-6620		TAX-2157
PWY-6620		TAX-2
FASYN-ELONG-PWY	fatty acid elongation -- saturated	TAX-33090
FASYN-ELONG-PWY		TAX-2
PWY-6293	L-cysteine biosynthesis IV (fungi)	TAX-4751
PWY-5738	GDP-6-deoxy-D-talose biosynthesis	TAX-2
PWY-5100	pyruvate fermentation to acetate and lactate II	TAX-2
PWY-7288	fatty acid &beta;-oxidation (peroxisome, yeast)	TAX-4751
PWY-6064	methylquercetin biosynthesis	TAX-58023
PWY-6064		TAX-3195
PWY-6064		TAX-3208
PWY-4722	creatinine degradation II	TAX-2
PWY-6348	phosphate acquisition	TAX-2759
PWY-6348		TAX-2
PWY66-162	ethanol degradation IV	TAX-33208
PWY-622	starch biosynthesis	TAX-2763
PWY-622		TAX-1117
PWY-622		TAX-33090
PWY-4181	glutathione amide metabolism	TAX-2
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	TAX-4751
P185-PWY	dihydroxyacetone cycle	
P185-PWY	xylulose-monophosphate cycle	
PWY-4101	D-sorbitol degradation I	TAX-4751
PWY-4101	sorbitol utilization	TAX-2
PWY-4101		TAX-71275
CHOLINE-BETAINE-ANA-PWY	choline degradation I	TAX-33208
CHOLINE-BETAINE-ANA-PWY	choline betaine anabolism	TAX-33090
CHOLINE-BETAINE-ANA-PWY		TAX-1224
PWY-7518	atromentin biosynthesis	TAX-5204
PWY-7518		TAX-4751
PWY-5907	homospermidine biosynthesis	TAX-131567
PWY-5907	polyamine biosynthesis	
PWY-5907	triaminic polyamine biosynthesis	
PWY-6536	4-aminobutanoate degradation III	TAX-4751
PWY-6536	&gamma;-amino-butyrate shunt	TAX-2
PWY-6536	GABA degradation	
PWY-5708	ethiin metabolism	TAX-40553
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	TAX-2
PWY-5655	L-tryptophan degradation IX	TAX-2
PWY-6959	L-ascorbate degradation V	TAX-33090
PWY-7411	phosphatidate biosynthesis (yeast)	TAX-2759
PWY-7693	guadinomine B biosynthesis	TAX-2
PWY-3162	L-tryptophan degradation V (side chain pathway)	TAX-1224
P21-PWY	pentose phosphate pathway (partial)	TAX-2093
P21-PWY	pentose phosphate pathway, Mycoplasma pneumonia	
PWY-5901	2,3-dihydroxybenzoate biosynthesis	TAX-2
ETHYL-PWY	ethylene biosynthesis I (plants)	TAX-3193
ETHYL-PWY	ethene biosynthesis from methionine	
PWY-7290	Escherichia coli serotype O86 O-antigen biosynthesis	TAX-1236
PWY-7290	&alpha;-D-galactosyl-(1&rarr;3)-&alpha;-L-fucosyl-(1&rarr;2)-&beta;-D-galactosaminyl-(1&rarr;3)-N-acetyl-&alpha;-D-galactosaminyl-(1&rarr;3)-N-acetyl-&alpha;-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol biosynthesis	
PWY-7290	&alpha;-D-Gal-(1&rarr;3)-&alpha;-L-Fuc-(1&rarr;2)-&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GalNAc-diphospho-ditrans,octacis-undecaprenol biosynthesis	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	TAX-2157
PWY0-166		TAX-2
PWY-5283	L-lysine degradation V	TAX-2
PWY-5283	2-aminoadipate pathway	
PWY-7297	octopamine biosynthesis	TAX-33317
PWY-7297		TAX-7735
PWY-7297		TAX-6157
PWY-7297		TAX-7586
PWY0-1479	tRNA processing	TAX-2
PWY-6659	fusicoccin A biosynthesis	TAX-4751
PWY0-1313	acetate conversion to acetyl-CoA	TAX-33154
PWY0-1313		TAX-2157
PWY0-1313		TAX-2
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	TAX-2759
SER-GLYSYN-PWY		TAX-2
SER-GLYSYN-PWY		TAX-2157
PWY-7618	ricinoleate biosynthesis	TAX-33090
PWY-7058	esculetin modification	TAX-58024
PWY-7559		TAX-4751
PWY-7434	terminal O-glycans residues modification (via type 2 precursor disaccharide)	TAX-2759
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)	TAX-4751
PWY-6361	phytate biosynthesis	
PWY-7382	lipoate biosynthesis and incorporation (yeast)	TAX-4751
PWY-5326	sulfite oxidation IV	TAX-33090
PWY-5326		TAX-33208
PWY-7255	ergothioneine biosynthesis I (bacteria)	TAX-28221
PWY-7255		TAX-1236
PWY-7255		TAX-28216
PWY-7255		TAX-28211
PWY-7255		TAX-976
PWY-7255		TAX-1117
PWY-7255		TAX-201174
PWY0-1466	trehalose degradation VI (periplasmic)	TAX-4751
PWY0-1466		TAX-2
ORNDEG-PWY	superpathway of ornithine degradation	TAX-2
COLANSYN-PWY	colanic acid building blocks biosynthesis	TAX-1224
PWY-6098	diploterol and cycloartenol biosynthesis	TAX-13819
PWY-6098	22-hydroxyphopane-1 biosynthesis	
PWY-6098	cycloartenol biosynthesis	
PWY-6098	diploterol biosynthesis	
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	TAX-2
PWY-7374	futalosine pathway	
PWY-6899	base-degraded thiamine salvage	TAX-4751
PWY-6899	formylaminopyrimidine salvage	TAX-2157
PWY-6899	base-degraded thiamin salvage	TAX-2
PWY-6610	adenine salvage	TAX-33682
PWY-6610		TAX-4751
PWY-6610		TAX-2157
PWY-6610		TAX-2
PWY-7820	teichuronic acid biosynthesis (B. subtilis 168)	TAX-1239
PWY-116	coniferin metabolism	TAX-2
PWY-116		TAX-58024
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine	TAX-3699
PWY-3462	L-phenylalanine biosynthesis II	TAX-33090
PWY-3462		TAX-2
PWY-3462		TAX-4751
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	TAX-2157
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis	TAX-2759
PWY-7346	UDP-glucuronic acid biosynthesis (from UDP-glucose)	TAX-2
PWY-7346	UDP-GlcA biosynthesis	
PWY-7245		TAX-4751
