gene	organism	chromosome	start	end
At1g26761	Arabidopsis thaliana	Chr1	9250223	9251644	
At1g26760	Arabidopsis thaliana	Chr1	9248151	9249943	
At1g26762	Arabidopsis thaliana	Chr1	9253630	9254167	
At2g44800	Arabidopsis thaliana	Chr2	18466819	18468551	
At3g16690	Arabidopsis thaliana	Chr3	5684358	5686490	
At3g29290	Arabidopsis thaliana	Chr3	11238110	11240287	
At3g22740	Arabidopsis thaliana	Chr3	8032958	8035809	
At1g67650	Arabidopsis thaliana	Chr1	25359658	25362395	
At3g26050	Arabidopsis thaliana	Chr3	9521781	9524552	
At1g29480	Arabidopsis thaliana	Chr1	10317935	10318711	
At3g24517	Arabidopsis thaliana	Chr3	8938105	8938641	
At1g76070	Arabidopsis thaliana	Chr1	28546381	28547611	
At4g39230	Arabidopsis thaliana	Chr4	18265884	18267829	
At4g35790	Arabidopsis thaliana	Chr4	16955517	16960170	
At4g39235	Arabidopsis thaliana	Chr4	18268048	18269212	
At5g02502	Arabidopsis thaliana	Chr5	558284	559235	
At1g16260	Arabidopsis thaliana	Chr1	5559578	5562113	
At2g23540	Arabidopsis thaliana	Chr2	10024345	10026233	
At4g10180	Arabidopsis thaliana	Chr4	6346462	6349276	
At1g29150	Arabidopsis thaliana	Chr1	10180517	10182703	
At2g27250	Arabidopsis thaliana	Chr2	11664985	11665769	
At2g18100	Arabidopsis thaliana	Chr2	7867827	7871642	
At4g11850	Arabidopsis thaliana	Chr4	7129122	7133200	
At4g35420	Arabidopsis thaliana	Chr4	16833932	16835619	
At2g12880	Arabidopsis thaliana	Chr2	5291522	5291882	
At1g51830	Arabidopsis thaliana	Chr1	19243024	19246010	
At5g16330	Arabidopsis thaliana	Chr5	5346162	5346977	
At5g19100	Arabidopsis thaliana	Chr5	6408241	6409417	
At2g01900	Arabidopsis thaliana	Chr2	405917	409014	
At4g10450	Arabidopsis thaliana	Chr4	6462952	6464544	
At2g01905	Arabidopsis thaliana	Chr2	410326	415330	
At1g64300	Arabidopsis thaliana	Chr1	23863094	23866045	
At3g46090	Arabidopsis thaliana	Chr3	16926215	16926850	
At4g18660	Arabidopsis thaliana	Chr4	10273479	10274872	
At1g11125	Arabidopsis thaliana	Chr1	3718782	3719711	
At5g33355	Arabidopsis thaliana	Chr5	12599252	12599671	
At1g11120	Arabidopsis thaliana	Chr1	3715183	3717320	
At5g41070	Arabidopsis thaliana	Chr5	16438306	16440046	
At5g41071	Arabidopsis thaliana	Chr5	16440068	16440251	
At1g20330	Arabidopsis thaliana	Chr1	7038687	7040159	
At5g13670	Arabidopsis thaliana	Chr5	4407076	4409011	
At2g47860	Arabidopsis thaliana	Chr2	19599947	19602192	
At4g11580	Arabidopsis thaliana	Chr4	7006647	7007738	
At5g38460	Arabidopsis thaliana	Chr5	15398283	15401026	
At3g24740	Arabidopsis thaliana	Chr3	9031096	9033796	
At1g10830	Arabidopsis thaliana	Chr1	3605575	3607493	
At1g30900	Arabidopsis thaliana	Chr1	10997274	11000543	
At5g45970	Arabidopsis thaliana	Chr5	18643733	18645966	
At1g65650	Arabidopsis thaliana	Chr1	24415014	24417709	
At1g60680	Arabidopsis thaliana	Chr1	22347621	22349297	
At5g37630	Arabidopsis thaliana	Chr5	14947329	14952765	
At3g25830	Arabidopsis thaliana	Chr3	9447507	9450420	
At5g09880	Arabidopsis thaliana	Chr5	3081441	3085264	
At5g03670	Arabidopsis thaliana	Chr5	947145	950171	
At5g07950	Arabidopsis thaliana	Chr5	2540283	2542136	
At3g27090	Arabidopsis thaliana	Chr3	9989539	9991826	
At3g15570	Arabidopsis thaliana	Chr3	5269848	5271922	
At1g61370	Arabidopsis thaliana	Chr1	22642095	22645147	
At3g15578	Arabidopsis thaliana	Chr3	5273690	5273873	
At5g04900	Arabidopsis thaliana	Chr5	1434773	1437330	
At2g21940	Arabidopsis thaliana	Chr2	9350715	9353231	
At5g08280	Arabidopsis thaliana	Chr5	2663498	2665792	
At1g15710	Arabidopsis thaliana	Chr1	5404357	5405686	
At1g60970	Arabidopsis thaliana	Chr1	22447847	22449526	
At5g37980	Arabidopsis thaliana	Chr5	15131359	15133085	
At1g80820	Arabidopsis thaliana	Chr1	30370571	30372670	
At1g18760	Arabidopsis thaliana	Chr1	6471149	6471824	
At4g11320	Arabidopsis thaliana	Chr4	6887253	6889059	
At4g15660	Arabidopsis thaliana	Chr4	8925805	8926310	
At1g61080	Arabidopsis thaliana	Chr1	22493193	22497019	
At5g42520	Arabidopsis thaliana	Chr5	17000258	17002607	
At4g27450	Arabidopsis thaliana	Chr4	13727483	13728886	
At4g19130	Arabidopsis thaliana	Chr4	10466476	10469092	
At3g10439	Arabidopsis thaliana	Chr3	3245230	3245329	
At1g24050	Arabidopsis thaliana	Chr1	8507009	8508864	
At2g03505	Arabidopsis thaliana	Chr2	1064235	1065372	
At5g23600	Arabidopsis thaliana	Chr5	7955993	7956632	
At3g10430	Arabidopsis thaliana	Chr3	3242749	3243862	
At2g03500	Arabidopsis thaliana	Chr2	1059709	1062410	
At3g13160	Arabidopsis thaliana	Chr3	4229970	4231286	
At4g25340	Arabidopsis thaliana	Chr4	12959441	12962699	
At1g53990	Arabidopsis thaliana	Chr1	20151015	20152752	
At1g02640	Arabidopsis thaliana	Chr1	564204	567769	
At5g18760	Arabidopsis thaliana	Chr5	6258294	6260929	
At5g24050	Arabidopsis thaliana	Chr5	8128352	8129402	
At5g28920	Arabidopsis thaliana	Chr5	10940034	10943378	
At4g21850	Arabidopsis thaliana	Chr4	11591115	11592238	
At1g18490	Arabidopsis thaliana	Chr1	6366519	6368849	
At3g47050	Arabidopsis thaliana	Chr3	17328034	17330889	
At5g14950	Arabidopsis thaliana	Chr5	4837151	4841942	
At5g08420	Arabidopsis thaliana	Chr5	2713412	2716179	
At5g40800	Arabidopsis thaliana	Chr5	16334809	16335628	
At3g14225	Arabidopsis thaliana	Chr3	4734615	4735993	
At1g66680	Arabidopsis thaliana	Chr1	24866094	24868992	
At3g14220	Arabidopsis thaliana	Chr3	4732892	4734609	
At1g08315	Arabidopsis thaliana	Chr1	2620334	2621545	
At1g08310	Arabidopsis thaliana	Chr1	2618646	2620452	
At1g05140	Arabidopsis thaliana	Chr1	1482547	1484056	
At3g26870	Arabidopsis thaliana	Chr3	9903287	9903680	
At5g46310	Arabidopsis thaliana	Chr5	18785671	18786956	
At5g45000	Arabidopsis thaliana	Chr5	18165382	18167193	
At1g13710	Arabidopsis thaliana	Chr1	4702724	4704657	
At4g16310	Arabidopsis thaliana	Chr4	9218635	9225264	
At1g66530	Arabidopsis thaliana	Chr1	24818910	24822342	
At3g58820	Arabidopsis thaliana	Chr3	21752532	21754615	
At4g28540	Arabidopsis thaliana	Chr4	14106958	14110706	
At4g24430	Arabidopsis thaliana	Chr4	12630017	12633075	
At1g03590	Arabidopsis thaliana	Chr1	894253	897518	
At5g19350	Arabidopsis thaliana	Chr5	6518837	6521474	
At2g24230	Arabidopsis thaliana	Chr2	10301816	10304812	
At5g01420	Arabidopsis thaliana	Chr5	174798	176214	
At3g48550	Arabidopsis thaliana	Chr3	17993998	17994734	
At4g13360	Arabidopsis thaliana	Chr4	7775127	7777895	
At2g16990	Arabidopsis thaliana	Chr2	7383034	7387854	
At2g43410	Arabidopsis thaliana	Chr2	18025246	18031243	
At5g64410	Arabidopsis thaliana	Chr5	25750844	25755052	
At2g23120	Arabidopsis thaliana	Chr2	9842042	9842634	
At2g17640	Arabidopsis thaliana	Chr2	7668077	7670495	
At3g02850	Arabidopsis thaliana	Chr3	619677	623558	
At3g19130	Arabidopsis thaliana	Chr3	6611197	6614044	
At4g12940	Arabidopsis thaliana	Chr4	7574171	7574627	
At5g25090	Arabidopsis thaliana	Chr5	8647017	8647817	
At3g62620	Arabidopsis thaliana	Chr3	23159782	23161854	
At2g16365	Arabidopsis thaliana	Chr2	7074361	7079519	
At1g54070	Arabidopsis thaliana	Chr1	20182638	20183242	
At1g79610	Arabidopsis thaliana	Chr1	29952872	29957189	
At4g13095	Arabidopsis thaliana	Chr4	7634992	7635483	
At4g13090	Arabidopsis thaliana	Chr4	7631534	7632870	
At2g22990	Arabidopsis thaliana	Chr2	9786315	9790179	
At2g28930	Arabidopsis thaliana	Chr2	12424774	12426674	
At3g45525	Arabidopsis thaliana	Chr3	16697272	16697828	
At5g05940	Arabidopsis thaliana	Chr5	1785926	1788436	
At5g02990	Arabidopsis thaliana	Chr5	700168	702630	
At3g49601	Arabidopsis thaliana	Chr3	18387301	18389564	
At3g49600	Arabidopsis thaliana	Chr3	18380548	18387128	
At1g11820	Arabidopsis thaliana	Chr1	3991026	3993598	
At1g78050	Arabidopsis thaliana	Chr1	29347580	29349755	
At2g11778	Arabidopsis thaliana	Chr2	4728071	4728239	
At2g11773	Arabidopsis thaliana	Chr2	4724035	4724143	
At2g17710	Arabidopsis thaliana	Chr2	7693595	7694746	
At3g05420	Arabidopsis thaliana	Chr3	1561777	1567250	
At3g59052	Arabidopsis thaliana	Chr3	21824695	21827509	
At3g59050	Arabidopsis thaliana	Chr3	21824695	21827509	
At3g51260	Arabidopsis thaliana	Chr3	19030994	19033064	
At2g15640	Arabidopsis thaliana	Chr2	6816791	6818205	
At4g20430	Arabidopsis thaliana	Chr4	11017655	11021280	
At4g10840	Arabidopsis thaliana	Chr4	6656515	6659265	
At1g50310	Arabidopsis thaliana	Chr1	18635983	18638110	
At5g62810	Arabidopsis thaliana	Chr5	25220146	25223789	
At3g03810	Arabidopsis thaliana	Chr3	971671	976367	
At5g65450	Arabidopsis thaliana	Chr5	26157862	26161096	
At4g09320	Arabidopsis thaliana	Chr4	5923399	5924532	
At3g51190	Arabidopsis thaliana	Chr3	19016605	19017547	
At1g23520	Arabidopsis thaliana	Chr1	8343423	8344839	
At1g70220	Arabidopsis thaliana	Chr1	26446135	26448009	
At3g43960	Arabidopsis thaliana	Chr3	15774054	15775657	
At1g07450	Arabidopsis thaliana	Chr1	2287925	2289336	
At1g73750	Arabidopsis thaliana	Chr1	27736629	27739079	
At5g22210	Arabidopsis thaliana	Chr5	7358819	7359952	
At1g68210	Arabidopsis thaliana	Chr1	25565982	25569302	
At5g66220	Arabidopsis thaliana	Chr5	26461176	26462174	
At2g31900	Arabidopsis thaliana	Chr2	13560759	13569623	
At2g26210	Arabidopsis thaliana	Chr2	11157117	11159292	
At4g36220	Arabidopsis thaliana	Chr4	17137343	17139635	
At2g16200	Arabidopsis thaliana	Chr2	7024606	7025231	
At4g23160	Arabidopsis thaliana	Chr4	12129484	12134187	
At3g05220	Arabidopsis thaliana	Chr3	1488594	1491320	
At4g24390	Arabidopsis thaliana	Chr4	12613589	12616117	
At1g04370	Arabidopsis thaliana	Chr1	1175176	1175578	
At5g57380	Arabidopsis thaliana	Chr5	23246394	23249504	
At4g30970	Arabidopsis thaliana	Chr4	15069265	15074588	
At3g47930	Arabidopsis thaliana	Chr3	17684443	17687620	
At3g04980	Arabidopsis thaliana	Chr3	1378683	1382181	
At3g54925	Arabidopsis thaliana	Chr3	20349434	20349980	
At3g54920	Arabidopsis thaliana	Chr3	20345081	20348582	
At5g64870	Arabidopsis thaliana	Chr5	25929537	25931384	
At4g29620	Arabidopsis thaliana	Chr4	14519862	14521087	
At2g34990	Arabidopsis thaliana	Chr2	14750259	14751168	
At3g58010	Arabidopsis thaliana	Chr3	21475804	21477569	
At2g10965	Arabidopsis thaliana	Chr2	4323670	4324948	
At3g57690	Arabidopsis thaliana	Chr3	21384203	21384572	
At4g03000	Arabidopsis thaliana	Chr4	1324107	1327520	
At5g66480	Arabidopsis thaliana	Chr5	26544540	26546986	
At4g02750	Arabidopsis thaliana	Chr4	1221115	1223461	
At3g10370	Arabidopsis thaliana	Chr3	3216367	3219270	
At5g51970	Arabidopsis thaliana	Chr5	21111444	21113403	
At5g67000	Arabidopsis thaliana	Chr5	26746676	26747281	
At1g72480	Arabidopsis thaliana	Chr1	27286057	27288368	
At5g58830	Arabidopsis thaliana	Chr5	23755774	23758684	
At1g69160	Arabidopsis thaliana	Chr1	26000213	26001588	
At5g63050	Arabidopsis thaliana	Chr5	25292434	25294995	
At1g56000	Arabidopsis thaliana	Chr1	20944140	20946718	
At4g08580	Arabidopsis thaliana	Chr4	5461482	5463907	
At2g25740	Arabidopsis thaliana	Chr2	10980121	10983945	
At3g19960	Arabidopsis thaliana	Chr3	6948773	6956966	
At1g73280	Arabidopsis thaliana	Chr1	27552969	27555322	
At3g15630	Arabidopsis thaliana	Chr3	5296846	5297599	
At2g38195	Arabidopsis thaliana	Chr2	16003614	16006654	
At1g05420	Arabidopsis thaliana	Chr1	1590072	1590753	
At1g72150	Arabidopsis thaliana	Chr1	27148459	27150980	
At2g35110	Arabidopsis thaliana	Chr2	14795714	14803850	
At4g29080	Arabidopsis thaliana	Chr4	14323360	14325328	
At5g56470	Arabidopsis thaliana	Chr5	22869059	22869958	
At2g39820	Arabidopsis thaliana	Chr2	16618276	16619689	
At1g78730	Arabidopsis thaliana	Chr1	29607688	29609441	
At1g77500	Arabidopsis thaliana	Chr1	29121488	29125191	
At2g32760	Arabidopsis thaliana	Chr2	13891790	13894724	
At2g32765	Arabidopsis thaliana	Chr2	13894861	13895582	
At3g05910	Arabidopsis thaliana	Chr3	1764317	1767620	
At5g10750	Arabidopsis thaliana	Chr5	3398950	3400156	
At2g30690	Arabidopsis thaliana	Chr2	13076228	13078595	
At2g30695	Arabidopsis thaliana	Chr2	13079089	13081362	
At1g32970	Arabidopsis thaliana	Chr1	11948720	11951982	
At1g32975	Arabidopsis thaliana	Chr1	11953088	11953899	
At3g59830	Arabidopsis thaliana	Chr3	22102802	22105380	
At2g28210	Arabidopsis thaliana	Chr2	12029996	12032420	
At1g78882	Arabidopsis thaliana	Chr1	29652632	29655949	
At1g78880	Arabidopsis thaliana	Chr1	29652632	29655949	
At5g64880	Arabidopsis thaliana	Chr5	25932289	25934156	
At5g60500	Arabidopsis thaliana	Chr5	24328756	24329785	
At3g18610	Arabidopsis thaliana	Chr3	6404082	6407822	
At5g17190	Arabidopsis thaliana	Chr5	5652217	5652983	
At1g58122	Arabidopsis thaliana	Chr1	21520400	21522457	
At1g58120	Arabidopsis thaliana	Chr1	21520400	21522457	
At3g27860	Arabidopsis thaliana	Chr3	10326127	10328086	
At5g55900	Arabidopsis thaliana	Chr5	22637530	22639761	
At3g02330	Arabidopsis thaliana	Chr3	473880	476592	
At1g55060	Arabidopsis thaliana	Chr1	20549532	20550225	
At1g63150	Arabidopsis thaliana	Chr1	23419395	23421579	
At1g76670	Arabidopsis thaliana	Chr1	28772599	28774901	
At2g33410	Arabidopsis thaliana	Chr2	14155870	14157762	
At2g38440	Arabidopsis thaliana	Chr2	16095328	16101221	
At1g06190	Arabidopsis thaliana	Chr1	1892272	1894148	
At5g20300	Arabidopsis thaliana	Chr5	6853425	6856902	
At2g39310	Arabidopsis thaliana	Chr2	16414072	16416815	
At2g18340	Arabidopsis thaliana	Chr2	7969319	7971114	
At4g28020	Arabidopsis thaliana	Chr4	13933231	13935315	
At3g44350	Arabidopsis thaliana	Chr3	16022835	16024487	
At4g02250	Arabidopsis thaliana	Chr4	983969	984523	
At1g49040	Arabidopsis thaliana	Chr1	18139233	18148981	
At4g04490	Arabidopsis thaliana	Chr4	2231956	2234638	
At4g35220	Arabidopsis thaliana	Chr4	16752570	16754305	
At1g09210	Arabidopsis thaliana	Chr1	2972841	2976750	
At1g06440	Arabidopsis thaliana	Chr1	1963379	1965051	
At2g41760	Arabidopsis thaliana	Chr2	17422769	17424371	
At2g30410	Arabidopsis thaliana	Chr2	12959288	12960810	
At2g18690	Arabidopsis thaliana	Chr2	8097419	8098827	
At1g31690	Arabidopsis thaliana	Chr1	11343979	11347767	
At4g08870	Arabidopsis thaliana	Chr4	5646438	5648727	
At5g53800	Arabidopsis thaliana	Chr5	21848134	21850111	
At4g08874	Arabidopsis thaliana	Chr4	5673275	5673710	
At4g08875	Arabidopsis thaliana	Chr4	5673817	5674220	
At4g08876	Arabidopsis thaliana	Chr4	5677394	5677728	
At4g08878	Arabidopsis thaliana	Chr4	5683179	5684022	
At5g56840	Arabidopsis thaliana	Chr5	22980692	22982342	
At5g13470	Arabidopsis thaliana	Chr5	4318523	4319924	
At4g01516	Arabidopsis thaliana	Chr4	649861	649957	
At4g01510	Arabidopsis thaliana	Chr4	642732	644336	
At5g61360	Arabidopsis thaliana	Chr5	24671013	24671868	
At1g65410	Arabidopsis thaliana	Chr1	24295168	24297595	
At1g54330	Arabidopsis thaliana	Chr1	20279566	20280952	
At2g44680	Arabidopsis thaliana	Chr2	18426571	18428357	
At3g04630	Arabidopsis thaliana	Chr3	1258545	1260871	
At3g09200	Arabidopsis thaliana	Chr3	2823089	2825114	
At1g69940	Arabidopsis thaliana	Chr1	26343368	26345058	
At5g11830	Arabidopsis thaliana	Chr5	3812519	3813044	
At5g44578	Arabidopsis thaliana	Chr5	17977176	17978638	
At2g28170	Arabidopsis thaliana	Chr2	12006370	12009956	
At5g44574	Arabidopsis thaliana	Chr5	17970692	17971449	
At5g44575	Arabidopsis thaliana	Chr5	17973837	17974998	
At5g44570	Arabidopsis thaliana	Chr5	17964415	17966496	
At5g44572	Arabidopsis thaliana	Chr5	17968151	17969563	
At1g31520	Arabidopsis thaliana	Chr1	11278982	11279639	
At2g05590	Arabidopsis thaliana	Chr2	2067096	2069206	
At2g37400	Arabidopsis thaliana	Chr2	15696154	15697402	
At3g03170	Arabidopsis thaliana	Chr3	731890	732875	
At5g51120	Arabidopsis thaliana	Chr5	20779660	20781557	
At1g80650	Arabidopsis thaliana	Chr1	30314535	30315819	
At3g31051	Arabidopsis thaliana	Chr3	12667226	12667370	
At5g09711	Arabidopsis thaliana	Chr5	3011009	3011147	
At5g09710	Arabidopsis thaliana	Chr5	3007908	3010988	
At1g07710	Arabidopsis thaliana	Chr1	2386274	2387986	
At1g70140	Arabidopsis thaliana	Chr1	26412687	26415230	
At5g53410	Arabidopsis thaliana	Chr5	21667938	21668046	
At4g35910	Arabidopsis thaliana	Chr4	17008566	17011509	
At2g19560	Arabidopsis thaliana	Chr2	8465767	8469116	
At1g34460	Arabidopsis thaliana	Chr1	12595109	12599628	
At2g35920	Arabidopsis thaliana	Chr2	15075596	15080812	
At4g31210	Arabidopsis thaliana	Chr4	15165155	15172738	
At2g03740	Arabidopsis thaliana	Chr2	1142724	1143988	
At4g20370	Arabidopsis thaliana	Chr4	11000770	11002996	
At1g24290	Arabidopsis thaliana	Chr1	8612504	8614277	
At5g16640	Arabidopsis thaliana	Chr5	5460975	5463017	
At4g17420	Arabidopsis thaliana	Chr4	9722355	9724640	
At5g18560	Arabidopsis thaliana	Chr5	6164586	6165991	
At2g47330	Arabidopsis thaliana	Chr2	19428896	19431720	
At2g01670	Arabidopsis thaliana	Chr2	296509	298101	
At3g60040	Arabidopsis thaliana	Chr3	22175936	22179728	
At5g14640	Arabidopsis thaliana	Chr5	4719076	4722279	
At5g45220	Arabidopsis thaliana	Chr5	18298925	18301069	
At2g04240	Arabidopsis thaliana	Chr2	1461629	1462934	
At2g03290	Arabidopsis thaliana	Chr2	999421	1000606	
At4g09040	Arabidopsis thaliana	Chr4	5794528	5797375	
At5g11160	Arabidopsis thaliana	Chr5	3550519	3552207	
At2g02160	Arabidopsis thaliana	Chr2	553109	556113	
At5g36870	Arabidopsis thaliana	Chr5	14518315	14533930	
At2g01580	Arabidopsis thaliana	Chr2	265043	265905	
At4g19038	Arabidopsis thaliana	Chr4	10430008	10430998	
At5g42640	Arabidopsis thaliana	Chr5	17088694	17089597	
At1g63970	Arabidopsis thaliana	Chr1	23738690	23740364	
At2g42300	Arabidopsis thaliana	Chr2	17621155	17624841	
At1g22920	Arabidopsis thaliana	Chr1	8109713	8112051	
At1g66330	Arabidopsis thaliana	Chr1	24729628	24732360	
At2g19280	Arabidopsis thaliana	Chr2	8362434	8366144	
At5g49850	Arabidopsis thaliana	Chr5	20259907	20262585	
At5g46880	Arabidopsis thaliana	Chr5	19031349	19035731	
At3g28260	Arabidopsis thaliana	Chr3	10534539	10536144	
At5g05080	Arabidopsis thaliana	Chr5	1498552	1500784	
At3g55520	Arabidopsis thaliana	Chr3	20593660	20595345	
At5g63510	Arabidopsis thaliana	Chr5	25423966	25425871	
At2g21330	Arabidopsis thaliana	Chr2	9128150	9130240	
At1g33780	Arabidopsis thaliana	Chr1	12244584	12246188	
At5g47680	Arabidopsis thaliana	Chr5	19316131	19317522	
At2g13125	Arabidopsis thaliana	Chr2	5415890	5416317	
At2g13126	Arabidopsis thaliana	Chr2	5416689	5416872	
At2g45650	Arabidopsis thaliana	Chr2	18804349	18806522	
At1g51200	Arabidopsis thaliana	Chr1	18984433	18986568	
At1g27720	Arabidopsis thaliana	Chr1	9643350	9647376	
At5g43590	Arabidopsis thaliana	Chr5	17509367	17511477	
At3g17440	Arabidopsis thaliana	Chr3	5969564	5972502	
At3g16710	Arabidopsis thaliana	Chr3	5690019	5691543	
At3g16712	Arabidopsis thaliana	Chr3	5691800	5692016	
At3g62350	Arabidopsis thaliana	Chr3	23071079	23071766	
At1g35780	Arabidopsis thaliana	Chr1	13277273	13280289	
At1g66800	Arabidopsis thaliana	Chr1	24924812	24926365	
At5g35753	Arabidopsis thaliana	Chr5	13922568	13925272	
At3g25265	Arabidopsis thaliana	Chr3	9202879	9203623	
At2g18193	Arabidopsis thaliana	Chr2	7917504	7919277	
At3g11840	Arabidopsis thaliana	Chr3	3736399	3738257	
At3g25260	Arabidopsis thaliana	Chr3	9199437	9202000	
At1g16870	Arabidopsis thaliana	Chr1	5770731	5773251	
At5g40480	Arabidopsis thaliana	Chr5	16213221	16224058	
At1g62360	Arabidopsis thaliana	Chr1	23058581	23061722	
