gene	organism	chromosome	start	end
Bra007249	Brassica rapa	A09	29718202	29719391	C
Bra007248	Brassica rapa	A09	29712975	29715377	C
Bra023901	Brassica rapa	A01	20070247	20073237	C
Bra023906	Brassica rapa	A01	20105152	20106209	C
Bra023907	Brassica rapa	A01	20110112	20112806	C
Bra037033	Brassica rapa	A03	28852593	28853989	C
Bra037032	Brassica rapa	A03	28859149	28860347	C
Bra037031	Brassica rapa	A03	28860729	28862328	C
Bra037030	Brassica rapa	A03	28873476	28875988	C
Bra037037	Brassica rapa	A03	28833696	28834967	C
Bra023904	Brassica rapa	A01	20082299	20084727	C
Bra037035	Brassica rapa	A03	28838237	28844643	C
Bra037034	Brassica rapa	A03	28850771	28851816	C
Bra037039	Brassica rapa	A03	28827570	28828055	C
Bra023905	Brassica rapa	A01	20085474	20087990	C
Bra002149	Brassica rapa	A10	11320332	11322569	C
Bra002148	Brassica rapa	A10	11327542	11329050	C
Bra002143	Brassica rapa	A10	11355047	11356649	C
Bra002142	Brassica rapa	A10	11357007	11357867	C
Bra002141	Brassica rapa	A10	11358852	11360119	C
Bra002140	Brassica rapa	A10	11363090	11366206	C
Bra002147	Brassica rapa	A10	11337134	11338675	C
Bra002146	Brassica rapa	A10	11339644	11340964	C
Bra002145	Brassica rapa	A10	11345982	11347757	C
Bra002144	Brassica rapa	A10	11348963	11354123	C
Bra028675	Brassica rapa	A02	1223000	1224488	C
Bra028674	Brassica rapa	A02	1226730	1227300	C
Bra028677	Brassica rapa	A02	1213429	1214802	C
Bra028676	Brassica rapa	A02	1217680	1222556	C
Bra028671	Brassica rapa	A02	1233210	1236379	C
Bra028670	Brassica rapa	A02	1239928	1241956	C
Bra028673	Brassica rapa	A02	1227579	1227959	C
Bra028672	Brassica rapa	A02	1230304	1232654	C
Bra032643	Brassica rapa	A09	38754644	38757134	C
Bra032642	Brassica rapa	A09	38751938	38753854	C
Bra032641	Brassica rapa	A09	38745650	38748820	C
Bra032640	Brassica rapa	A09	38737208	38741104	C
Bra028679	Brassica rapa	A02	1201777	1204726	C
Bra028678	Brassica rapa	A02	1209189	1209893	C
Bra032645	Brassica rapa	A09	38763687	38765212	C
Bra032644	Brassica rapa	A09	38760441	38761505	C
Bra022736	Brassica rapa	A02	6687018	6687962	C
Bra022737	Brassica rapa	A02	6675860	6680175	C
Bra022734	Brassica rapa	A02	6701135	6702613	C
Bra022735	Brassica rapa	A02	6697544	6699402	C
Bra022732	Brassica rapa	A02	6705952	6706950	C
Bra022733	Brassica rapa	A02	6704770	6705090	C
Bra022730	Brassica rapa	A02	6709348	6710250	C
Bra022731	Brassica rapa	A02	6708051	6708430	C
Bra037697	Brassica rapa	A04	18254982	18268712	C
Bra037696	Brassica rapa	A04	18268889	18269515	C
Bra037695	Brassica rapa	A04	18271121	18272343	C
Bra037694	Brassica rapa	A04	18273223	18274542	C
Bra037693	Brassica rapa	A04	18275566	18278059	C
Bra037692	Brassica rapa	A04	18281851	18282112	C
Bra022738	Brassica rapa	A02	6670129	6671819	C
Bra022739	Brassica rapa	A02	6667654	6669694	C
Bra007939	Brassica rapa	A02	10990838	10991443	C
Bra007938	Brassica rapa	A02	10986534	10986782	C
Bra007931	Brassica rapa	A02	10946768	10948316	C
Bra007930	Brassica rapa	A02	10941975	10945839	C
Bra007933	Brassica rapa	A02	10957930	10958659	C
Bra007932	Brassica rapa	A02	10950240	10951548	C
Bra007935	Brassica rapa	A02	10965096	10965943	C
Bra007934	Brassica rapa	A02	10960844	10962296	C
Bra007937	Brassica rapa	A02	10974081	10975899	C
Bra007936	Brassica rapa	A02	10969572	10970438	C
Bra036342	Brassica rapa	A02	21360195	21361546	C
Bra036343	Brassica rapa	A02	21357653	21358720	C
Bra036340	Brassica rapa	A02	21408274	21410045	C
Bra036341	Brassica rapa	A02	21382451	21383467	C
Bra036346	Brassica rapa	A02	21314016	21315413	C
Bra036347	Brassica rapa	A02	21288181	21290784	C
Bra036344	Brassica rapa	A02	21354164	21355994	C
Bra036345	Brassica rapa	A02	21346407	21348133	C
Bra036348	Brassica rapa	A02	21283896	21284252	C
Bra036349	Brassica rapa	A02	21278310	21280601	C
Bra003238	Brassica rapa	A07	15356083	15357234	C
Bra003239	Brassica rapa	A07	15366761	15368292	C
Bra008228	Brassica rapa	A02	12963832	12964452	C
Bra008229	Brassica rapa	A02	12965546	12967284	C
Bra003232	Brassica rapa	A07	15332827	15333852	C
Bra003233	Brassica rapa	A07	15335083	15338622	C
Bra003230	Brassica rapa	A07	15317714	15318514	C
Bra003231	Brassica rapa	A07	15318789	15320712	C
Bra003236	Brassica rapa	A07	15348632	15349490	C
Bra003237	Brassica rapa	A07	15351426	15355547	C
Bra003234	Brassica rapa	A07	15340157	15341027	C
Bra003235	Brassica rapa	A07	15343732	15345314	C
Bra037965	Brassica rapa	A06	386074	386448	C
Bra037964	Brassica rapa	A06	392200	393521	C
Bra037967	Brassica rapa	A06	372952	375004	C
Bra037966	Brassica rapa	A06	375941	378988	C
Bra037961	Brassica rapa	A06	405937	406847	C
Bra037960	Brassica rapa	A06	407363	408268	C
Bra009579	Brassica rapa	A10	16093535	16093759	C
Bra009578	Brassica rapa	A10	16086074	16087241	C
Bra009577	Brassica rapa	A10	16084501	16085405	C
Bra009576	Brassica rapa	A10	16080903	16082978	C
Bra009575	Brassica rapa	A10	16078303	16078785	C
Bra009574	Brassica rapa	A10	16076226	16077185	C
Bra009573	Brassica rapa	A10	16074851	16076011	C
Bra009572	Brassica rapa	A10	16073720	16074280	C
Bra009571	Brassica rapa	A10	16071924	16073398	C
Bra009570	Brassica rapa	A10	16069436	16070254	C
Bra027528	Brassica rapa	A09	11537972	11540653	C
Bra027529	Brassica rapa	A09	11545330	11548924	C
Bra035818	Brassica rapa	A05	18078922	18080552	C
Bra027520	Brassica rapa	A09	11491223	11493102	C
Bra027521	Brassica rapa	A09	11499176	11500623	C
Bra027522	Brassica rapa	A09	11506856	11507077	C
Bra027523	Brassica rapa	A09	11507826	11508767	C
Bra027524	Brassica rapa	A09	11523070	11523528	C
Bra027525	Brassica rapa	A09	11526763	11529260	C
Bra027526	Brassica rapa	A09	11529914	11532655	C
Bra027527	Brassica rapa	A09	11533418	11537031	C
Bra023069	Brassica rapa	A03	8525396	8527900	C
Bra023068	Brassica rapa	A03	8505585	8508995	C
Bra023061	Brassica rapa	A03	8468878	8469360	C
Bra023060	Brassica rapa	A03	8461150	8463012	C
Bra023063	Brassica rapa	A03	8476509	8478380	C
Bra023062	Brassica rapa	A03	8472159	8474939	C
Bra023065	Brassica rapa	A03	8482184	8488966	C
Bra023064	Brassica rapa	A03	8478976	8479137	C
Bra023067	Brassica rapa	A03	8500256	8501199	C
Bra023066	Brassica rapa	A03	8489330	8491503	C
Bra035812	Brassica rapa	A05	18046029	18047912	C
Bra036179	Brassica rapa	A09	2072294	2074037	C
Bra035810	Brassica rapa	A05	18027519	18028021	C
Bra025968	Brassica rapa	A06	6421342	6421829	C
Bra025969	Brassica rapa	A06	6420668	6420901	C
Bra025966	Brassica rapa	A06	6425078	6425632	C
Bra025967	Brassica rapa	A06	6422461	6424636	C
Bra025964	Brassica rapa	A06	6430496	6432520	C
Bra025543	Brassica rapa	A04	8381111	8384615	C
Bra025962	Brassica rapa	A06	6438328	6439962	C
Bra025963	Brassica rapa	A06	6434480	6434986	C
Bra025960	Brassica rapa	A06	6447979	6450186	C
Bra025961	Brassica rapa	A06	6443336	6444109	C
Bra031695	Brassica rapa	A09	36961159	36963919	C
Bra031694	Brassica rapa	A09	36965728	36969615	C
Bra031697	Brassica rapa	A09	36951356	36954558	C
Bra031696	Brassica rapa	A09	36956576	36959459	C
Bra031691	Brassica rapa	A09	36985226	36985921	C
Bra031690	Brassica rapa	A09	36988485	36990576	C
Bra031693	Brassica rapa	A09	36970881	36973880	C
Bra031692	Brassica rapa	A09	36979525	36982282	C
Bra032483	Brassica rapa	A09	38024576	38025694	C
Bra035814	Brassica rapa	A05	18060308	18062792	C
Bra031699	Brassica rapa	A09	36942896	36944998	C
Bra031698	Brassica rapa	A09	36945620	36950210	C
Bra024381	Brassica rapa	A06	15986065	15989469	C
Bra024380	Brassica rapa	A06	15978832	15981649	C
Bra024383	Brassica rapa	A06	16017035	16019058	C
Bra024382	Brassica rapa	A06	16010914	16011795	C
Bra024385	Brassica rapa	A06	16024939	16029729	C
Bra024384	Brassica rapa	A06	16021427	16022992	C
Bra024387	Brassica rapa	A06	16034092	16040278	C
Bra024386	Brassica rapa	A06	16030530	16033732	C
Bra024389	Brassica rapa	A06	16051568	16052177	C
Bra024388	Brassica rapa	A06	16046906	16049601	C
Bra036171	Brassica rapa	A09	2108609	2109100	C
Bra036170	Brassica rapa	A09	2109536	2113391	C
Bra035867	Brassica rapa	A09	3828318	3829117	C
Bra031529	Brassica rapa	A01	16542495	16546796	C
Bra031528	Brassica rapa	A01	16550649	16553776	C
Bra031523	Brassica rapa	A01	16588200	16592605	C
Bra016741	Brassica rapa	A08	18995108	18996699	C
Bra031521	Brassica rapa	A01	16601769	16603802	C
Bra031520	Brassica rapa	A01	16604480	16608575	C
Bra031527	Brassica rapa	A01	16555277	16556421	C
Bra031526	Brassica rapa	A01	16561558	16564333	C
Bra031525	Brassica rapa	A01	16583391	16583678	C
Bra031524	Brassica rapa	A01	16585599	16586527	C
Bra025388	Brassica rapa	A06	20771902	20774028	C
Bra025389	Brassica rapa	A06	20770780	20771451	C
Bra025382	Brassica rapa	A06	20789342	20791179	C
Bra025383	Brassica rapa	A06	20787448	20788872	C
Bra025380	Brassica rapa	A06	20795516	20796301	C
Bra025381	Brassica rapa	A06	20791604	20793857	C
Bra025386	Brassica rapa	A06	20776099	20776721	C
Bra025387	Brassica rapa	A06	20774549	20775652	C
Bra025384	Brassica rapa	A06	20782541	20784334	C
Bra025385	Brassica rapa	A06	20780140	20781196	C
Bra005308	Brassica rapa	A05	4703862	4711192	C
Bra005309	Brassica rapa	A05	4719051	4720214	C
Bra005304	Brassica rapa	A05	4681564	4683119	C
Bra005305	Brassica rapa	A05	4683596	4686512	C
Bra005306	Brassica rapa	A05	4691798	4694169	C
Bra005307	Brassica rapa	A05	4698030	4698551	C
Bra005300	Brassica rapa	A05	4625664	4626605	C
Bra005301	Brassica rapa	A05	4643803	4646678	C
Bra005302	Brassica rapa	A05	4663704	4664516	C
Bra005303	Brassica rapa	A05	4679133	4679693	C
Bra025030	Brassica rapa	A06	23731150	23735866	C
Bra025031	Brassica rapa	A06	23738083	23742985	C
Bra025032	Brassica rapa	A06	23744771	23747537	C
Bra025033	Brassica rapa	A06	23749628	23751863	C
Bra025034	Brassica rapa	A06	23753468	23754592	C
Bra025035	Brassica rapa	A06	23756843	23757791	C
Bra025036	Brassica rapa	A06	23762840	23763079	C
Bra025037	Brassica rapa	A06	23763683	23766331	C
Bra025038	Brassica rapa	A06	23768541	23769731	C
Bra025039	Brassica rapa	A06	23769805	23770458	C
Bra020608	Brassica rapa	A02	23689209	23690637	C
Bra020609	Brassica rapa	A02	23685367	23688370	C
Bra020600	Brassica rapa	A02	23738447	23739238	C
Bra020601	Brassica rapa	A02	23734807	23737247	C
Bra020602	Brassica rapa	A02	23730714	23731045	C
Bra020603	Brassica rapa	A02	23717752	23728765	C
Bra020604	Brassica rapa	A02	23716617	23717345	C
Bra020605	Brassica rapa	A02	23711526	23716079	C
Bra020606	Brassica rapa	A02	23701126	23710198	C
Bra020607	Brassica rapa	A02	23695502	23697802	C
Bra026608	Brassica rapa	A02	20110737	20112151	C
Bra026609	Brassica rapa	A02	20096002	20097145	C
Bra026606	Brassica rapa	A02	20125556	20128837	C
Bra026607	Brassica rapa	A02	20119105	20122616	C
Bra026604	Brassica rapa	A02	20132791	20140056	C
Bra026605	Brassica rapa	A02	20131178	20132211	C
Bra026602	Brassica rapa	A02	20143543	20144749	C
Bra026603	Brassica rapa	A02	20141036	20142387	C
Bra026600	Brassica rapa	A02	20155558	20157094	C
Bra026601	Brassica rapa	A02	20150189	20152669	C
Bra006659	Brassica rapa	A03	4504721	4505050	C
Bra006658	Brassica rapa	A03	4502478	4502922	C
Bra006657	Brassica rapa	A03	4500801	4501349	C
Bra006656	Brassica rapa	A03	4497947	4499615	C
Bra006655	Brassica rapa	A03	4494578	4495985	C
Bra006654	Brassica rapa	A03	4492551	4493179	C
Bra006653	Brassica rapa	A03	4491459	4491857	C
Bra006652	Brassica rapa	A03	4487477	4487887	C
Bra006651	Brassica rapa	A03	4477604	4480109	C
Bra006650	Brassica rapa	A03	4475470	4476900	C
Bra035703	Brassica rapa	A04	12783557	12785720	C
Bra038097	Brassica rapa	A05	10660276	10662954	C
Bra013918	Brassica rapa	A01	8447708	8449723	C
Bra013919	Brassica rapa	A01	8458352	8458960	C
Bra013916	Brassica rapa	A01	8437894	8439615	C
Bra013917	Brassica rapa	A01	8445798	8446214	C
Bra013914	Brassica rapa	A01	8429333	8430010	C
Bra013915	Brassica rapa	A01	8434400	8435548	C
Bra013912	Brassica rapa	A01	8420292	8422205	C
Bra013913	Brassica rapa	A01	8426067	8428229	C
Bra013910	Brassica rapa	A01	8412704	8413953	C
Bra013911	Brassica rapa	A01	8414268	8414849	C
Bra033383	Brassica rapa	A10	2597895	2599055	C
Bra035701	Brassica rapa	A04	12798825	12799613	C
Bra033382	Brassica rapa	A10	2604515	2606719	C
Bra027951	Brassica rapa	A09	10509990	10511400	C
Bra027950	Brassica rapa	A09	10506858	10508283	C
Bra027953	Brassica rapa	A09	10517010	10518400	C
Bra027952	Brassica rapa	A09	10511615	10514942	C
Bra027955	Brassica rapa	A09	10526314	10527720	C
Bra027954	Brassica rapa	A09	10521861	10524316	C
Bra027957	Brassica rapa	A09	10545072	10546460	C
Bra027956	Brassica rapa	A09	10528317	10531900	C
Bra027959	Brassica rapa	A09	10556687	10564513	C
Bra027958	Brassica rapa	A09	10551658	10553499	C
Bra033389	Brassica rapa	A10	2566974	2568023	C
Bra033388	Brassica rapa	A10	2568377	2570923	C
Bra039699	Brassica rapa	A06	489622	491891	C
Bra039698	Brassica rapa	A06	493018	493623	C
Bra039695	Brassica rapa	A06	502461	507236	C
Bra039694	Brassica rapa	A06	508113	510504	C
Bra039697	Brassica rapa	A06	494906	495511	C
Bra039696	Brassica rapa	A06	496806	497411	C
Bra039691	Brassica rapa	A06	518130	519945	C
Bra039690	Brassica rapa	A06	521256	521456	C
Bra039693	Brassica rapa	A06	512097	514044	C
Bra039692	Brassica rapa	A06	514723	517582	C
Bra018823	Brassica rapa	A06	1765744	1766973	C
Bra018822	Brassica rapa	A06	1767769	1768372	C
Bra018821	Brassica rapa	A06	1768637	1772071	C
Bra018820	Brassica rapa	A06	1773465	1774736	C
Bra018827	Brassica rapa	A06	1757789	1758100	C
Bra018826	Brassica rapa	A06	1759416	1760453	C
Bra018825	Brassica rapa	A06	1761053	1763296	C
Bra018824	Brassica rapa	A06	1763742	1765464	C
Bra035705	Brassica rapa	A04	12766624	12767867	C
Bra018829	Brassica rapa	A06	1728654	1729254	C
Bra018828	Brassica rapa	A06	1734752	1754130	C
Bra023682	Brassica rapa	A02	3477790	3479705	C
Bra035704	Brassica rapa	A04	12768347	12769831	C
Bra018346	Brassica rapa	A05	7632628	7633774	C
Bra018347	Brassica rapa	A05	7640605	7644646	C
Bra011666	Brassica rapa	A01	1178219	1182945	C
Bra011667	Brassica rapa	A01	1172165	1174150	C
Bra011664	Brassica rapa	A01	1189405	1190731	C
Bra011665	Brassica rapa	A01	1183501	1188344	C
Bra011662	Brassica rapa	A01	1200661	1200975	C
Bra011663	Brassica rapa	A01	1191953	1195366	C
Bra011660	Brassica rapa	A01	1208222	1210112	C
Bra011661	Brassica rapa	A01	1206295	1207272	C
Bra011668	Brassica rapa	A01	1153797	1157666	C
Bra011669	Brassica rapa	A01	1151090	1153431	C
Bra010399	Brassica rapa	A08	13550424	13550904	C
Bra010398	Brassica rapa	A08	13545705	13549676	C
Bra010395	Brassica rapa	A08	13526714	13526905	C
Bra010394	Brassica rapa	A08	13520803	13521626	C
Bra010397	Brassica rapa	A08	13532905	13533108	C
Bra010396	Brassica rapa	A08	13527989	13528177	C
Bra010391	Brassica rapa	A08	13499019	13500574	C
Bra010390	Brassica rapa	A08	13494266	13496360	C
Bra010393	Brassica rapa	A08	13505762	13512276	C
Bra010392	Brassica rapa	A08	13503059	13504818	C
Bra018349	Brassica rapa	A05	7692234	7694031	C
Bra038359	Brassica rapa	A02	9998213	9999151	C
Bra013286	Brassica rapa	A01	4746101	4749623	C
Bra013287	Brassica rapa	A01	4752377	4755786	C
Bra013284	Brassica rapa	A01	4740906	4741537	C
Bra013285	Brassica rapa	A01	4743107	4745808	C
Bra013282	Brassica rapa	A01	4734662	4737861	C
Bra013283	Brassica rapa	A01	4739286	4740438	C
Bra013280	Brassica rapa	A01	4726189	4727197	C
Bra013281	Brassica rapa	A01	4729793	4733146	C
Bra004303	Brassica rapa	A07	21142154	21146522	C
Bra013288	Brassica rapa	A01	4758502	4759907	C
Bra013289	Brassica rapa	A01	4772891	4774034	C
Bra010539	Brassica rapa	A08	14268217	14269406	C
Bra006114	Brassica rapa	A03	2078740	2081278	C
Bra040000	Brassica rapa	Scaffold000185	33778	36196	C
Bra006115	Brassica rapa	A03	2082667	2082861	C
Bra010531	Brassica rapa	A08	14230412	14231397	C
Bra010530	Brassica rapa	A08	14219425	14222712	C
Bra010533	Brassica rapa	A08	14242197	14243707	C
Bra010532	Brassica rapa	A08	14234828	14235409	C
Bra010535	Brassica rapa	A08	14247307	14248713	C
Bra006116	Brassica rapa	A03	2084927	2086511	C
Bra010537	Brassica rapa	A08	14254066	14254444	C
Bra010536	Brassica rapa	A08	14248948	14251346	C
Bra006117	Brassica rapa	A03	2088472	2090136	C
Bra013138	Brassica rapa	A03	20274916	20278658	C
Bra013139	Brassica rapa	A03	20262752	20265742	C
Bra013134	Brassica rapa	A03	20301697	20304664	C
Bra006110	Brassica rapa	A03	2055904	2064107	C
Bra013136	Brassica rapa	A03	20290487	20294512	C
Bra013137	Brassica rapa	A03	20288451	20290154	C
Bra013130	Brassica rapa	A03	20321838	20323842	C
Bra013131	Brassica rapa	A03	20316078	20320793	C
Bra013132	Brassica rapa	A03	20310691	20311469	C
Bra006111	Brassica rapa	A03	2069637	2072865	C
Bra019965	Brassica rapa	A06	3489683	3491732	C
Bra017628	Brassica rapa	A03	29457623	29459635	C
Bra006112	Brassica rapa	A03	2073048	2074652	C
Bra001183	Brassica rapa	A03	15206470	15207614	C
Bra017624	Brassica rapa	A03	29445976	29447120	C
Bra017625	Brassica rapa	A03	29447848	29449696	C
Bra017626	Brassica rapa	A03	29449994	29453224	C
Bra006113	Brassica rapa	A03	2076331	2077727	C
Bra017620	Brassica rapa	A03	29415910	29416483	C
Bra017621	Brassica rapa	A03	29422225	29423216	C
Bra017622	Brassica rapa	A03	29425469	29434445	C
Bra017623	Brassica rapa	A03	29438841	29444679	C
Bra001181	Brassica rapa	A03	15188458	15188808	C
Bra001186	Brassica rapa	A03	15218128	15219942	C
Bra019960	Brassica rapa	A06	3508440	3522237	C
Bra002730	Brassica rapa	A10	8039756	8040172	C
Bra019963	Brassica rapa	A06	3498928	3501812	C
Bra002731	Brassica rapa	A10	8036532	8037565	C
Bra019962	Brassica rapa	A06	3502155	3503874	C
Bra002732	Brassica rapa	A10	8032730	8033323	C
Bra002733	Brassica rapa	A10	8017627	8022510	C
Bra002734	Brassica rapa	A10	8012094	8013428	C
Bra002735	Brassica rapa	A10	8007163	8007452	C
Bra034128	Brassica rapa	A01	24849827	24852802	C
Bra004307	Brassica rapa	A07	21159509	21161106	C
Bra002736	Brassica rapa	A10	8005177	8006295	C
Bra034120	Brassica rapa	A01	24896574	24898873	C
Bra034121	Brassica rapa	A01	24892031	24895150	C
Bra034122	Brassica rapa	A01	24890011	24891239	C
Bra002737	Brassica rapa	A10	7995155	7997363	C
Bra034124	Brassica rapa	A01	24869012	24871275	C
Bra034125	Brassica rapa	A01	24862458	24864859	C
Bra034126	Brassica rapa	A01	24856940	24861630	C
Bra034127	Brassica rapa	A01	24853685	24854726	C
Bra039336	Brassica rapa	A04	18681921	18682091	C
Bra039337	Brassica rapa	A04	18680024	18681571	C
Bra039334	Brassica rapa	A04	18688516	18690211	C
Bra039335	Brassica rapa	A04	18685966	18687195	C
Bra039332	Brassica rapa	A04	18692211	18694822	C
Bra039333	Brassica rapa	A04	18690439	18691713	C
Bra039330	Brassica rapa	A04	18697386	18698000	C
Bra039331	Brassica rapa	A04	18695314	18696539	C
Bra039338	Brassica rapa	A04	18676483	18677409	C
Bra004306	Brassica rapa	A07	21154279	21158699	C
Bra002309	Brassica rapa	A10	10442172	10442779	C
Bra002308	Brassica rapa	A10	10451342	10453414	C
Bra012669	Brassica rapa	A03	22866167	22867815	C
Bra012668	Brassica rapa	A03	22868226	22869879	C
Bra002305	Brassica rapa	A10	10459324	10462502	C
Bra002304	Brassica rapa	A10	10465866	10468300	C
Bra002307	Brassica rapa	A10	10454287	10456420	C
Bra002306	Brassica rapa	A10	10456633	10457682	C
Bra002301	Brassica rapa	A10	10479644	10481673	C
Bra002300	Brassica rapa	A10	10486640	10486873	C
Bra002303	Brassica rapa	A10	10469021	10470313	C
Bra002302	Brassica rapa	A10	10474485	10478882	C
Bra000233	Brassica rapa	A03	10082358	10083230	C
Bra000232	Brassica rapa	A03	10074462	10076367	C
Bra000231	Brassica rapa	A03	10072134	10073879	C
Bra000230	Brassica rapa	A03	10068023	10069600	C
Bra000237	Brassica rapa	A03	10106365	10108859	C
