gene	organism	chromosome	start	end
Bo5g072400	Brassica oleracea	C5	23527026	23527559	C
Bo7g077420	Brassica oleracea	C7	29081322	29084625	C
Bo7g105010	Brassica oleracea	C7	40438073	40439743	C
Bo7g065300	Brassica oleracea	C7	24941061	24941823	C
Bo3g048320	Brassica oleracea	C3	19745398	19750508	C
Bo5g148060	Brassica oleracea	C5	45533849	45535843	C
Bo5g057080	Brassica oleracea	C5	18245934	18246629	C
Bo7g091120	Brassica oleracea	C7	35013534	35013761	C
Bo5g076310	Brassica oleracea	C5	25076265	25078598	C
Bo8g097980	Brassica oleracea	C8	33466109	33467731	C
Bo6g076410	Brassica oleracea	C6	22331805	22332581	C
Bo1g037300	Brassica oleracea	C1	11214600	11216861	C
Bo1g103580	Brassica oleracea	C1	31532608	31532982	C
Bo9g064120	Brassica oleracea	C9	19247357	19250513	C
Bo1g156220	Brassica oleracea	C1	43280487	43282500	C
Bo4g103670	Brassica oleracea	C4	25839945	25841431	C
Bo6g018180	Brassica oleracea	C6	3655435	3658418	C
Bo3g003230	Brassica oleracea	C3	1095577	1097778	C
Bo7g099350	Brassica oleracea	C7	38985662	38987509	C
Bo8g112390	Brassica oleracea	C8	39804587	39806182	C
Bo3g055540	Brassica oleracea	C3	21960798	21962929	C
Bo4g181630	Brassica oleracea	C4	47677949	47681529	C
Bo5g082360	Brassica oleracea	C5	26601920	26602647	C
Bo23556s010	Brassica oleracea	Scaffold23556	8	291	C
Bo8g020500	Brassica oleracea	C8	4840542	4842274	C
Bo7g098400	Brassica oleracea	C7	38484051	38487214	C
Bo3g005170	Brassica oleracea	C3	1979535	1980960	C
Bo3g036380	Brassica oleracea	C3	14354887	14356438	C
Bo1g022280	Brassica oleracea	C1	8241637	8244926	C
Bo8g062630	Brassica oleracea	C8	20217250	20217837	C
Bo25456s010	Brassica oleracea	Scaffold25456	47	208	C
Bo4g143870	Brassica oleracea	C4	39113094	39115257	C
Bo3g158650	Brassica oleracea	C3	56605961	56607751	C
Bo4g045410	Brassica oleracea	C4	10354284	10357226	C
Bo2g116520	Brassica oleracea	C2	35718027	35718365	C
Bo3g177100	Brassica oleracea	C3	61967621	61969432	C
Bo3g101420	Brassica oleracea	C3	36376780	36380153	C
Bo8g050230	Brassica oleracea	C8	16503157	16504548	C
Bo8g025550	Brassica oleracea	C8	6925072	6926333	C
Bo1g147250	Brassica oleracea	C1	41600988	41604595	C
Bo8g091660	Brassica oleracea	C8	31061665	31061967	C
Bo00766s060	Brassica oleracea	Scaffold00766	58211	61200	C
Bo6g097190	Brassica oleracea	C6	30632127	30633269	C
Bo00434s100	Brassica oleracea	Scaffold00434	276191	276742	C
Bo2g167720	Brassica oleracea	C2	52450467	52450673	C
Bo6g080680	Brassica oleracea	C6	24640452	24642811	C
Bo3g179850	Brassica oleracea	C3	62622194	62622727	C
Bo6g003580	Brassica oleracea	C6	832183	833579	C
Bo3g133010	Brassica oleracea	C3	48659798	48665187	C
Bo1g025480	Brassica oleracea	C1	9100681	9103267	C
Bo13133s010	Brassica oleracea	Scaffold13133	7	327	C
Bo6g110700	Brassica oleracea	C6	34697083	34697800	C
Bo1g134460	Brassica oleracea	C1	38563789	38564250	C
Bo8g117410	Brassica oleracea	C8	41272521	41272790	C
Bo7g056010	Brassica oleracea	C7	20314301	20316112	C
Bo3g071420	Brassica oleracea	C3	27602435	27602629	C
Bo8g111150	Brassica oleracea	C8	39653857	39655507	C
Bo2g108810	Brassica oleracea	C2	32286595	32288762	C
Bo3g185820	Brassica oleracea	C3	64933589	64939197	C
Bo5g148680	Brassica oleracea	C5	45958833	45959169	C
Bo9g163040	Brassica oleracea	C9	47865466	47867465	C
Bo5g127110	Brassica oleracea	C5	39380162	39382061	C
Bo5g106280	Brassica oleracea	C5	33663340	33665900	C
Bo7g114950	Brassica oleracea	C7	45748529	45751030	C
Bo6g088100	Brassica oleracea	C6	28034507	28035657	C
Bo1g153470	Brassica oleracea	C1	42894992	42896857	C
Bo9g018170	Brassica oleracea	C9	5473967	5477167	C
Bo6g044150	Brassica oleracea	C6	11792269	11793736	C
Bo5g027450	Brassica oleracea	C5	9587265	9592704	C
Bo8g110820	Brassica oleracea	C8	39483919	39487740	C
Bo6g080350	Brassica oleracea	C6	24441405	24442266	C
Bo2g116860	Brassica oleracea	C2	36132856	36133059	C
Bo2g161600	Brassica oleracea	C2	50910759	50911109	C
Bo7g097600	Brassica oleracea	C7	37989273	37990375	C
Bo4g194510	Brassica oleracea	C4	52406292	52406883	C
Bo01820s010	Brassica oleracea	Scaffold01820	83	1840	C
Bo1g157570	Brassica oleracea	C1	43503628	43506044	C
Bo8g019260	Brassica oleracea	C8	4394313	4394714	C
Bo3g017800	Brassica oleracea	C3	5856145	5856627	C
Bo3g085430	Brassica oleracea	C3	31635869	31636015	C
Bo00714s020	Brassica oleracea	Scaffold00714	84391	84567	C
Bo7g096550	Brassica oleracea	C7	37282335	37283426	C
Bo4g118570	Brassica oleracea	C4	30589946	30592313	C
Bo4g122730	Brassica oleracea	C4	31674813	31676327	C
Bo1g017710	Brassica oleracea	C1	6179570	6184434	C
Bo6g119700	Brassica oleracea	C6	37564536	37565802	C
Bo9g058550	Brassica oleracea	C9	17083162	17084057	C
Bo2g006700	Brassica oleracea	C2	1009808	1010519	C
Bo2g152880	Brassica oleracea	C2	47980703	47982424	C
Bo3g032600	Brassica oleracea	C3	12521724	12522953	C
Bo2g115120	Brassica oleracea	C2	34762752	34764342	C
Bo2g024710	Brassica oleracea	C2	7030671	7032002	C
Bo9g004020	Brassica oleracea	C9	587737	589307	C
Bo2g047500	Brassica oleracea	C2	13011386	13011895	C
Bo4g183140	Brassica oleracea	C4	48562771	48563604	C
Bo5g056020	Brassica oleracea	C5	18205826	18208007	C
Bo6g120480	Brassica oleracea	C6	37993093	37994533	C
Bo9g152020	Brassica oleracea	C9	45281875	45284684	C
Bo2g025420	Brassica oleracea	C2	7700750	7702389	C
Bo7g048670	Brassica oleracea	C7	18077243	18081409	C
Bo8g068400	Brassica oleracea	C8	22406662	22410276	C
Bo3g001690	Brassica oleracea	C3	322803	326145	C
Bo1g146120	Brassica oleracea	C1	41519427	41521062	C
Bo9g030670	Brassica oleracea	C9	10561732	10562841	C
Bo2g002460	Brassica oleracea	C2	368265	369736	C
Bo2g133950	Brassica oleracea	C2	41791212	41792558	C
Bo2g075160	Brassica oleracea	C2	20965270	20966862	C
Bo4g151740	Brassica oleracea	C4	41686336	41687968	C
Bo9g010160	Brassica oleracea	C9	2926964	2928709	C
Bo9g120220	Brassica oleracea	C9	37942955	37943414	C
Bo6g068130	Brassica oleracea	C6	19421545	19421813	C
Bo5g116940	Brassica oleracea	C5	35840541	35841644	C
Bo9g037020	Brassica oleracea	C9	12604505	12606078	C
Bo9g163280	Brassica oleracea	C9	47997322	47997753	C
Bo4g105140	Brassica oleracea	C4	26325431	26328347	C
Bo4g038880	Brassica oleracea	C4	8402207	8402760	C
Bo8g064950	Brassica oleracea	C8	20404916	20405669	C
Bo3g129900	Brassica oleracea	C3	47346974	47349043	C
Bo6g064800	Brassica oleracea	C6	17222070	17222285	C
Bo1g028390	Brassica oleracea	C1	9737833	9738468	C
Bo5g126640	Brassica oleracea	C5	39000888	39008886	C
Bo6g116460	Brassica oleracea	C6	36409114	36411144	C
Bo8g020380	Brassica oleracea	C8	4610234	4610632	C
Bo2g011220	Brassica oleracea	C2	2983809	2985665	C
Bo4g182950	Brassica oleracea	C4	48471058	48472832	C
Bo00763s040	Brassica oleracea	Scaffold00763	13781	15586	C
Bo9g181280	Brassica oleracea	C9	53509071	53510769	C
Bo6g084970	Brassica oleracea	C6	26492304	26492576	C
Bo4g133270	Brassica oleracea	C4	34227456	34229309	C
Bo8g104150	Brassica oleracea	C8	36436484	36442623	C
Bo3g100480	Brassica oleracea	C3	35718646	35719900	C
Bo3g158710	Brassica oleracea	C3	56670231	56672934	C
Bo2g048220	Brassica oleracea	C2	13766509	13767902	C
Bo8g101300	Brassica oleracea	C8	35528374	35531585	C
Bo4g149460	Brassica oleracea	C4	40378387	40379244	C
Bo6g050820	Brassica oleracea	C6	13930759	13930926	C
Bo01178s010	Brassica oleracea	Scaffold01178	565	1142	C
Bo2g100310	Brassica oleracea	C2	28640761	28643193	C
Bo8g089960	Brassica oleracea	C8	29980844	29983340	C
Bo2g050450	Brassica oleracea	C2	14030774	14034773	C
Bo3g173900	Brassica oleracea	C3	61075785	61076538	C
Bo2g095250	Brassica oleracea	C2	26637371	26638136	C
Bo4g173290	Brassica oleracea	C4	45976729	45977866	C
Bo9g058830	Brassica oleracea	C9	17256390	17258408	C
Bo1g031850	Brassica oleracea	C1	10129333	10135966	C
Bo1g011920	Brassica oleracea	C1	4331679	4332514	C
Bo02017s010	Brassica oleracea	Scaffold02017	1251	2378	C
Bo2g094850	Brassica oleracea	C2	26334792	26335233	C
Bo9g154680	Brassica oleracea	C9	46312140	46314185	C
Bo9g085810	Brassica oleracea	C9	26502151	26506137	C
Bo4g186180	Brassica oleracea	C4	49250139	49251936	C
Bo13073s010	Brassica oleracea	Scaffold13073	10	394	C
Bo3g085570	Brassica oleracea	C3	31726637	31731709	C
Bo5g141450	Brassica oleracea	C5	43851993	43853063	C
Bo9g153640	Brassica oleracea	C9	45635105	45636172	C
Bo3g058880	Brassica oleracea	C3	22643538	22644238	C
Bo5g126390	Brassica oleracea	C5	38862881	38863407	C
Bo2g001280	Brassica oleracea	C2	237542	239234	C
Bo3g141310	Brassica oleracea	C3	50906247	50907691	C
Bo8g104480	Brassica oleracea	C8	36649272	36650043	C
Bo1g016040	Brassica oleracea	C1	5105323	5108467	C
Bo8g038200	Brassica oleracea	C8	13445376	13446116	C
Bo6g118070	Brassica oleracea	C6	36744705	36746520	C
Bo8g115700	Brassica oleracea	C8	40900853	40902327	C
Bo3g065480	Brassica oleracea	C3	25284325	25286515	C
Bo3g034520	Brassica oleracea	C3	13118509	13120077	C
Bo4g039280	Brassica oleracea	C4	8658760	8660388	C
Bo3g028000	Brassica oleracea	C3	10642063	10643983	C
Bo4g021070	Brassica oleracea	C4	2815561	2817053	C
Bo8g030770	Brassica oleracea	C8	9967253	9967746	C
Bo3g093810	Brassica oleracea	C3	34277232	34278721	C
Bo9g092550	Brassica oleracea	C9	28460966	28464902	C
Bo7g067210	Brassica oleracea	C7	25986288	25988281	C
Bo7g064490	Brassica oleracea	C7	24262700	24266310	C
Bo2g041220	Brassica oleracea	C2	10729198	10731817	C
Bo01128s010	Brassica oleracea	Scaffold01128	3794	5528	C
Bo1g129730	Brassica oleracea	C1	37968659	37970230	C
Bo2g038980	Brassica oleracea	C2	10558063	10558733	C
Bo7g031410	Brassica oleracea	C7	12048488	12050055	C
Bo9g069320	Brassica oleracea	C9	20539335	20541300	C
Bo6g033260	Brassica oleracea	C6	8374726	8375553	C
Bo7g116080	Brassica oleracea	C7	46317858	46318956	C
Bo9g094240	Brassica oleracea	C9	29294258	29295565	C
Bo3g081830	Brassica oleracea	C3	30220635	30221096	C
Bo1g123470	Brassica oleracea	C1	36853269	36854733	C
Bo1g154790	Brassica oleracea	C1	43063472	43068111	C
Bo4g019670	Brassica oleracea	C4	2560968	2564689	C
Bo8g075090	Brassica oleracea	C8	24191106	24191847	C
Bo9g090950	Brassica oleracea	C9	27937709	27938302	C
Bo8g037920	Brassica oleracea	C8	13097133	13099546	C
Bo2g018020	Brassica oleracea	C2	5173309	5176913	C
Bo4g039750	Brassica oleracea	C4	9038881	9039204	C
Bo7g109950	Brassica oleracea	C7	43544947	43549109	C
Bo7g082250	Brassica oleracea	C7	32370849	32372215	C
Bo3g039650	Brassica oleracea	C3	15946099	15947085	C
Bo3g036600	Brassica oleracea	C3	14539455	14540030	C
Bo9g010830	Brassica oleracea	C9	3328594	3328854	C
Bo4g175920	Brassica oleracea	C4	46531090	46531596	C
Bo4g187580	Brassica oleracea	C4	50239103	50240982	C
Bo8g021920	Brassica oleracea	C8	5474925	5476628	C
Bo4g139330	Brassica oleracea	C4	37058476	37059032	C
Bo1g141550	Brassica oleracea	C1	40595369	40596421	C
Bo3g107130	Brassica oleracea	C3	37706922	37707719	C
Bo8g102650	Brassica oleracea	C8	36192425	36194846	C
Bo7g100850	Brassica oleracea	C7	39278525	39279852	C
Bo8g105680	Brassica oleracea	C8	37250199	37250644	C
Bo4g059710	Brassica oleracea	C4	13193952	13194922	C
Bo1g020190	Brassica oleracea	C1	7337016	7342487	C
Bo8g099110	Brassica oleracea	C8	34053797	34055362	C
Bo3g044650	Brassica oleracea	C3	18487945	18488172	C
Bo5g111110	Brassica oleracea	C5	34281144	34282585	C
Bo6g064370	Brassica oleracea	C6	16754792	16758105	C
Bo3g162230	Brassica oleracea	C3	57170240	57170968	C
Bo3g120620	Brassica oleracea	C3	42373375	42373629	C
Bo9g023960	Brassica oleracea	C9	7520764	7522299	C
Bo8g090390	Brassica oleracea	C8	30307771	30309123	C
Bo1g019540	Brassica oleracea	C1	6896468	6897341	C
Bo3g062270	Brassica oleracea	C3	23905804	23906844	C
Bo3g113760	Brassica oleracea	C3	40686767	40687689	C
Bo01206s020	Brassica oleracea	Scaffold01206	6848	7378	C
Bo3g066100	Brassica oleracea	C3	25711657	25714128	C
Bo2g080660	Brassica oleracea	C2	22366163	22369019	C
Bo10997s010	Brassica oleracea	Scaffold10997	94	515	C
Bo7g109480	Brassica oleracea	C7	43341405	43342963	C
Bo9g027660	Brassica oleracea	C9	8854847	8857297	C
Bo4g112620	Brassica oleracea	C4	28620907	28622365	C
Bo1g117720	Brassica oleracea	C1	35417685	35420026	C
Bo8g039550	Brassica oleracea	C8	13796092	13797177	C
Bo2g155260	Brassica oleracea	C2	48398383	48399989	C
Bo8g105350	Brassica oleracea	C8	37090999	37097516	C
Bo7g116620	Brassica oleracea	C7	46575065	46576631	C
Bo5g058610	Brassica oleracea	C5	18644755	18646038	C
Bo1g011210	Brassica oleracea	C1	3970750	3972786	C
Bo5g114090	Brassica oleracea	C5	35128533	35129770	C
Bo5g093350	Brassica oleracea	C5	30431201	30431661	C
Bo9g151640	Brassica oleracea	C9	45052682	45054489	C
Bo7g054060	Brassica oleracea	C7	19454201	19454990	C
Bo1g095730	Brassica oleracea	C1	28254882	28255187	C
Bo3g029750	Brassica oleracea	C3	11121290	11122566	C
Bo2g025360	Brassica oleracea	C2	7632935	7633120	C
Bo9g117280	Brassica oleracea	C9	37064047	37064757	C
Bo6g112610	Brassica oleracea	C6	35289621	35290052	C
Bo3g021560	Brassica oleracea	C3	7262602	7263271	C
Bo8g100490	Brassica oleracea	C8	34908504	34911452	C
Bo1g005760	Brassica oleracea	C1	1544585	1545255	C
Bo5g129160	Brassica oleracea	C5	40139744	40141076	C
Bo4g186450	Brassica oleracea	C4	49475282	49476454	C
Bo4g119900	Brassica oleracea	C4	30985267	30986873	C
Bo8g058840	Brassica oleracea	C8	19049532	19050887	C
Bo04422s010	Brassica oleracea	Scaffold04422	336	759	C
Bo7g110660	Brassica oleracea	C7	43915469	43916932	C
Bo1g053440	Brassica oleracea	C1	15496696	15498492	C
Bo01233s020	Brassica oleracea	Scaffold01233	7390	8902	C
Bo3g156900	Brassica oleracea	C3	55925574	55925759	C
Bo7g007300	Brassica oleracea	C7	2323529	2324442	C
Bo4g120000	Brassica oleracea	C4	31047418	31050618	C
Bo7g052720	Brassica oleracea	C7	19021561	19022723	C
Bo4g122890	Brassica oleracea	C4	31778898	31782230	C
Bo3g019370	Brassica oleracea	C3	6607392	6609128	C
Bo9g161640	Brassica oleracea	C9	47637305	47637730	C
Bo4g165450	Brassica oleracea	C4	44595462	44595674	C
Bo1g124840	Brassica oleracea	C1	37171623	37175414	C
Bo9g091390	Brassica oleracea	C9	28291727	28292611	C
Bo9g166690	Brassica oleracea	C9	49460769	49461768	C
Bo7g078100	Brassica oleracea	C7	29487748	29490021	C
Bo2g010560	Brassica oleracea	C2	2565480	2565895	C
Bo2g137200	Brassica oleracea	C2	44006140	44006922	C
Bo3g021690	Brassica oleracea	C3	7318284	7318744	C
Bo9g169410	Brassica oleracea	C9	49874703	49879892	C
Bo3g155470	Brassica oleracea	C3	55554694	55555179	C
Bo3g027590	Brassica oleracea	C3	10391092	10393557	C
Bo1g008060	Brassica oleracea	C1	2808893	2811478	C
Bo7g109220	Brassica oleracea	C7	43172595	43174813	C
Bo04698s010	Brassica oleracea	Scaffold04698	71	250	C
Bo3g009120	Brassica oleracea	C3	3063324	3065048	C
Bo9g071490	Brassica oleracea	C9	21543655	21545162	C
Bo01107s020	Brassica oleracea	Scaffold01107	12463	15643	C
Bo4g139800	Brassica oleracea	C4	37327290	37328979	C
Bo6g011060	Brassica oleracea	C6	2594370	2595329	C
Bo15496s010	Brassica oleracea	Scaffold15496	55	333	C
Bo9g018730	Brassica oleracea	C9	5868284	5869659	C
Bo7g101030	Brassica oleracea	C7	39346366	39349265	C
Bo01050s010	Brassica oleracea	Scaffold01050	8592	9142	C
Bo2g055240	Brassica oleracea	C2	15584370	15585026	C
Bo3g023070	Brassica oleracea	C3	8244477	8245111	C
Bo01278s020	Brassica oleracea	Scaffold01278	3163	6848	C
Bo6g079730	Brassica oleracea	C6	23946598	23946903	C
Bo3g144150	Brassica oleracea	C3	52195634	52196382	C
Bo7g095140	Brassica oleracea	C7	36459643	36460017	C
Bo6g068490	Brassica oleracea	C6	19757909	19759604	C
Bo9g043600	Brassica oleracea	C9	14189016	14191232	C
Bo2g080820	Brassica oleracea	C2	22582240	22584042	C
Bo2g007420	Brassica oleracea	C2	1458876	1460651	C
Bo1g144190	Brassica oleracea	C1	40969932	40970529	C
Bo4g043900	Brassica oleracea	C4	9852856	9856109	C
Bo2g116780	Brassica oleracea	C2	36062174	36063652	C
Bo9g123730	Brassica oleracea	C9	39272372	39273946	C
Bo5g115320	Brassica oleracea	C5	35315142	35316747	C
Bo3g094050	Brassica oleracea	C3	34485265	34486598	C
Bo4g148250	Brassica oleracea	C4	40182309	40184169	C
Bo9g163480	Brassica oleracea	C9	48092041	48093888	C
Bo3g058710	Brassica oleracea	C3	22581750	22582705	C
Bo4g032390	Brassica oleracea	C4	7259968	7261189	C
Bo6g053660	Brassica oleracea	C6	14541582	14551696	C
Bo3g018770	Brassica oleracea	C3	6331057	6331391	C
Bo8g001170	Brassica oleracea	C8	94852	95790	C
Bo1g002750	Brassica oleracea	C1	356379	358290	C
Bo00751s110	Brassica oleracea	Scaffold00751	74688	75095	C
Bo8g104970	Brassica oleracea	C8	36886677	36889583	C
Bo1g091720	Brassica oleracea	C1	27188174	27191247	C
Bo09885s010	Brassica oleracea	Scaffold09885	157	489	C
Bo3g074550	Brassica oleracea	C3	28472621	28475648	C
Bo9g022420	Brassica oleracea	C9	6985944	6987170	C
Bo8g082510	Brassica oleracea	C8	28414630	28416102	C
Bo9g085770	Brassica oleracea	C9	26465091	26465438	C
Bo4g187330	Brassica oleracea	C4	50022454	50024359	C
Bo6g067770	Brassica oleracea	C6	19128437	19129722	C
Bo1g144220	Brassica oleracea	C1	40981650	40984354	C
Bo9g110930	Brassica oleracea	C9	35425687	35426645	C
Bo6g106970	Brassica oleracea	C6	33371724	33373561	C
Bo09683s010	Brassica oleracea	Scaffold09683	130	579	C
Bo1g098840	Brassica oleracea	C1	29485414	29488380	C
Bo9g097020	Brassica oleracea	C9	31047927	31050236	C
Bo2g092580	Brassica oleracea	C2	25031314	25032949	C
Bo2g116430	Brassica oleracea	C2	35504580	35505666	C
Bo00578s250	Brassica oleracea	Scaffold00578	191075	192988	C
Bo3g137070	Brassica oleracea	C3	50019336	50021963	C
Bo3g169220	Brassica oleracea	C3	59778911	59781668	C
Bo1g138360	Brassica oleracea	C1	39325882	39328260	C
Bo9g133140	Brassica oleracea	C9	40627258	40628456	C
Bo4g096590	Brassica oleracea	C4	23815522	23817408	C
Bo6g081220	Brassica oleracea	C6	25036853	25038486	C
Bo7g056350	Brassica oleracea	C7	20619389	20619745	C
Bo1g002280	Brassica oleracea	C1	148961	151258	C
Bo7g096640	Brassica oleracea	C7	37370689	37371101	C
Bo3g023870	Brassica oleracea	C3	8736376	8736735	C
Bo7g072660	Brassica oleracea	C7	27510173	27510691	C
Bo4g015890	Brassica oleracea	C4	2146250	2147243	C
Bo5g039840	Brassica oleracea	C5	13179150	13181404	C
Bo8g107440	Brassica oleracea	C8	38177540	38178909	C
Bo4g137000	Brassica oleracea	C4	35939599	35940990	C
Bo9g071710	Brassica oleracea	C9	21766714	21767877	C
Bo01166s020	Brassica oleracea	Scaffold01166	15482	17005	C
Bo20324s010	Brassica oleracea	Scaffold20324	62	337	C
Bo4g181660	Brassica oleracea	C4	47694869	47696563	C
Bo8g033590	Brassica oleracea	C8	10906532	10906744	C
Bo7g119210	Brassica oleracea	C7	48016121	48017369	C
Bo2g026610	Brassica oleracea	C2	7816664	7820867	C
Bo7g111040	Brassica oleracea	C7	44113870	44114565	C
Bo9g027970	Brassica oleracea	C9	9054895	9055138	C
Bo3g039120	Brassica oleracea	C3	15563342	15565209	C
Bo2g012540	Brassica oleracea	C2	3659906	3664838	C
Bo1g066240	Brassica oleracea	C1	19821854	19823244	C
Bo7g091240	Brassica oleracea	C7	35101648	35106845	C
Bo00939s020	Brassica oleracea	Scaffold00939	5454	6193	C
Bo1g139180	Brassica oleracea	C1	39804729	39805991	C
Bo5g085240	Brassica oleracea	C5	27612845	27614271	C
Bo7g115740	Brassica oleracea	C7	46130053	46134536	C
Bo2g023550	Brassica oleracea	C2	6132319	6133942	C
Bo9g175620	Brassica oleracea	C9	52080276	52082770	C
Bo7g005410	Brassica oleracea	C7	1516171	1517520	C
Bo1g098260	Brassica oleracea	C1	28791163	28791354	C
Bo2g082630	Brassica oleracea	C2	23258504	23259218	C
Bo01673s010	Brassica oleracea	Scaffold01673	199	567	C
Bo7g081230	Brassica oleracea	C7	31280928	31281862	C
Bo4g185880	Brassica oleracea	C4	49047569	49049287	C
Bo2g082180	Brassica oleracea	C2	22879979	22881095	C
Bo3g027840	Brassica oleracea	C3	10561001	10561367	C
Bo1g003480	Brassica oleracea	C1	781589	783307	C
Bo5g086910	Brassica oleracea	C5	28468905	28470222	C
Bo1g090450	Brassica oleracea	C1	26834337	26835184	C
Bo6g115830	Brassica oleracea	C6	36102522	36104779	C
Bo5g052000	Brassica oleracea	C5	17182916	17184977	C
Bo8g005760	Brassica oleracea	C8	1192432	1195766	C
Bo2g012890	Brassica oleracea	C2	3843251	3844138	C
Bo5g035120	Brassica oleracea	C5	11644671	11646080	C
Bo3g052990	Brassica oleracea	C3	20993678	20994638	C
Bo6g066420	Brassica oleracea	C6	17875810	17877138	C
Bo9g019120	Brassica oleracea	C9	6117059	6117754	C
Bo1g147750	Brassica oleracea	C1	41852491	41853919	C
Bo3g134520	Brassica oleracea	C3	49383599	49384150	C
Bo00950s020	Brassica oleracea	Scaffold00950	7934	12918	C
Bo5g030570	Brassica oleracea	C5	10435305	10435745	C
Bo5g034650	Brassica oleracea	C5	11291163	11291420	C
Bo4g110970	Brassica oleracea	C4	27987822	27988783	C
Bo00986s020	Brassica oleracea	Scaffold00986	2814	3449	C
Bo5g091840	Brassica oleracea	C5	29889105	29890840	C
Bo9g010440	Brassica oleracea	C9	3076241	3078810	C
Bo9g021540	Brassica oleracea	C9	6398678	6401619	C
Bo1g082400	Brassica oleracea	C1	24028161	24028490	C
Bo4g157360	Brassica oleracea	C4	42897737	42898734	C
Bo4g096880	Brassica oleracea	C4	24204621	24204917	C
Bo4g085100	Brassica oleracea	C4	20345429	20346767	C
Bo9g121000	Brassica oleracea	C9	38686582	38689056	C
Bo1g003150	Brassica oleracea	C1	561431	562659	C
Bo6g098830	Brassica oleracea	C6	31202463	31206369	C
Bo4g176490	Brassica oleracea	C4	46887382	46888047	C
Bo4g177920	Brassica oleracea	C4	47216984	47221334	C
Bo9g055790	Brassica oleracea	C9	16519536	16520832	C
Bo4g025210	Brassica oleracea	C4	4206216	4207265	C
Bo5g014900	Brassica oleracea	C5	4764181	4767516	C
Bo4g004670	Brassica oleracea	C4	439867	440175	C
